player,stat_type,line,recommendation,best_edge,prob_over_calibrated,pred_mean,over_odds,under_odds,defense_multiplier,home_away_multiplier,opponent_team
Jonnu Smith,receiving_yards,29.5,UNDER,0.2610775951737051,0.217391304347826,12.152819677160547,-116.0,-109.0,0.5817254120540185,0.9763440860215054,LAC
David Moore,receiving_yards,18.5,UNDER,0.2610775951737051,0.217391304347826,1.9913415071205811,-115.0,-109.0,0.6027460653432899,1.0,NE
Cedrick Wilson Jr.,receiving_yards,6.5,UNDER,0.2587991718426501,0.217391304347826,1.221046074464854,-114.0,-110.0,0.6105230372324271,1.0,BAL
Alvin Kamara,receiving_yards,53.5,UNDER,0.2587991718426501,0.217391304347826,6.706276865624751,-120.0,-110.0,0.5940978619280728,0.76,CAR
Allen Lazard,receiving_yards,26.5,UNDER,0.2587991718426501,0.217391304347826,6.644953544161892,-114.0,-110.0,0.617773692202291,0.9649122807017544,CIN
Chris Olave,receiving_yards,116.5,UNDER,0.2587991718426501,0.217391304347826,40.18410052825968,-120.0,-110.0,0.5940978619280728,1.0097560975609756,CAR
Rhamondre Stevenson,receptions,0.5,OVER,0.2586786114221724,0.6842105263157895,0.9015069583058756,135.0,-175.0,0.5836541659527721,0.9111111111111112,CLE
Chris Godwin,receiving_yards,52.5,UNDER,0.2565423449412735,0.217391304347826,15.745313370763114,-113.0,-111.0,0.6055889757985813,1.0,SEA
Mike Evans,receiving_yards,69.5,UNDER,0.2565423449412735,0.217391304347826,26.53752817881257,-113.0,-111.0,0.5958846392025525,1.0,DET
Mike Evans,receiving_yards,61.5,UNDER,0.2565423449412735,0.217391304347826,26.53752817881257,-113.0,-111.0,0.5958846392025525,1.0,DET
Trey McBride,receiving_yards,76.5,UNDER,0.2565423449412735,0.217391304347826,38.69253090059892,-113.0,-111.0,0.6055889757985813,1.067591836734694,SEA
Devaughn Vele,receiving_yards,20.5,UNDER,0.2565423449412735,0.217391304347826,6.10701228838338,-113.0,-111.0,0.5940978619280728,1.0,CAR
CeeDee Lamb,receptions,6.5,UNDER,0.2548644338118023,0.2666666666666666,3.921747375971825,-139.0,109.0,0.6124336763717226,1.0,ARI
Mike Gesicki,receiving_yards,20.5,UNDER,0.2546196665512545,0.2238492329702765,8.002761072090399,-115.0,-109.0,0.5958846392025525,1.3071428571428572,DET
Trey McBride,receiving_yards,78.5,UNDER,0.2543068088597211,0.217391304347826,38.69253090059892,-112.0,-112.0,0.6055889757985813,1.067591836734694,SEA
Mike Evans,receiving_yards,72.5,UNDER,0.2543068088597211,0.217391304347826,26.53752817881257,-112.0,-112.0,0.5958846392025525,1.0,DET
Mike Gesicki,receiving_yards,21.5,UNDER,0.2520922637272913,0.217391304347826,8.002761072090399,-111.0,-113.0,0.5958846392025525,1.3071428571428572,DET
Jonnu Smith,receiving_yards,31.5,UNDER,0.2520922637272913,0.217391304347826,12.152819677160547,-111.0,-113.0,0.5817254120540185,0.9763440860215054,LAC
Mike Evans,receiving_yards,63.5,UNDER,0.2520922637272913,0.217391304347826,26.53752817881257,-111.0,-113.0,0.5958846392025525,1.0,DET
Oronde Gadsden II,receptions,2.5,OVER,0.2518011936050204,0.6791516209554478,3.04815684724587,134.0,-172.0,0.6294379122454832,0.96,PIT
Johnny Mundt,receiving_yards,15.5,UNDER,0.2510497043301837,0.2184338637449336,2.8317263349481223,-111.0,-113.0,0.5848207810353626,0.9783783783783784,HOU
George Kittle,receiving_yards,64.5,UNDER,0.2498984152783422,0.217391304347826,18.632984970586296,-110.0,-114.0,0.6012451298936923,1.104,LA
Greg Dortch,receiving_yards,31.5,UNDER,0.2498984152783422,0.217391304347826,2.539965353591848,-110.0,-114.0,0.6055889757985813,0.6507936507936508,SEA
Mike Gesicki,receiving_yards,22.5,UNDER,0.2498984152783422,0.217391304347826,8.002761072090399,-110.0,-114.0,0.5958846392025525,1.3071428571428572,DET
Adam Thielen,receiving_yards,31.5,UNDER,0.2498984152783422,0.217391304347826,6.969935069598703,-110.0,-114.0,0.6105230372324271,2.018181818181818,BAL
Colby Parkinson,receptions,1.5,OVER,0.2494279176201373,0.6842105263157895,1.8773994690815552,130.0,-166.0,0.6142744479495268,1.5333333333333334,SF
Dontayvion Wicks,receptions,3.5,UNDER,0.2489611381529303,0.1712069290739604,1.4046039421052054,108.0,-138.0,0.6021554480347856,1.3199999999999998,PHI
Tory Horton,receptions,1.5,UNDER,0.2475678443420379,0.3492063492063492,0.6230181540162102,-190.0,148.0,0.6047650918758015,1.0666666666666669,WAS
Greg Dortch,receiving_yards,30.5,UNDER,0.2455716586151368,0.217391304347826,2.539965353591848,-108.0,-116.0,0.6055889757985813,0.6507936507936508,SEA
Adam Thielen,receptions,1.5,UNDER,0.2448117244330339,0.3486842105263157,0.5249102345003351,-187.0,146.0,0.6165385536876572,1.35,BAL
Jordan Mason,receiving_yards,14.5,UNDER,0.2434381887397315,0.217391304347826,1.414918373655901,-107.0,-117.0,0.6105230372324271,0.8333333333333334,BAL
Davante Adams,receptions,4.5,UNDER,0.2431372549019608,0.2666666666666666,2.9618609966136265,-132.0,104.0,0.6142744479495268,1.0266666666666666,SF
Emari Demercado,receiving_yards,13.5,UNDER,0.2413242919824492,0.217391304347826,0.4700210228766404,-107.0,-118.0,0.6055889757985813,1.08,SEA
Pat Bryant,receptions,1.5,UNDER,0.237570510297783,0.3492063492063492,0.8148679616501221,-182.0,142.0,0.6068614507009604,0.8666666666666667,LV
Tyreek Hill,receptions,5.5,UNDER,0.2373370747118592,0.2071073697325851,3.4165991555020794,-102.0,-125.0,0.5921422426154287,1.1333333333333333,NYJ
Kenneth Walker III,receptions,2.5,UNDER,0.2358208955223881,0.2666666666666666,0.745670004837749,-129.0,101.0,0.6124336763717226,0.984,ARI
Jonnu Smith,receiving_yards,28.5,UNDER,0.2344993896664415,0.2306168894033259,12.152819677160547,-109.0,-115.0,0.5817254120540185,0.9763440860215054,LAC
Emeka Egbuka,receptions,4.5,UNDER,0.2311477222467935,0.3486842105263157,2.362946615378353,-177.0,138.0,0.610787104716473,1.009090909090909,NE
Tyler Lockett,receptions,1.5,UNDER,0.2288527225236086,0.3492063492063492,0.4699612023804706,-176.0,137.0,0.5880326120762429,0.8799999999999999,DEN
Darren Waller,receptions,1.5,OVER,0.228722726610396,0.6791731770608465,1.8643098737865689,122.0,-156.0,0.5836541659527721,1.0,CLE
Jerry Jeudy,receiving_yards,63.5,UNDER,0.2245090191656388,0.2449745489094786,15.024890506860428,-111.0,-113.0,0.5901763188659752,1.212173913043478,NYJ
Mike Gesicki,receiving_yards,19.5,UNDER,0.2232049048466257,0.2507287444424738,8.002761072090399,-113.0,-111.0,0.5958846392025525,1.3071428571428572,DET
Arian Smith,receiving_yards,22.5,UNDER,0.2212206871640482,0.254969789026428,4.085197649133323,-114.0,-110.0,0.5806405644838818,0.7173333333333334,CLE
Nick Chubb,receiving_yards,8.5,UNDER,0.2189564121363292,0.2418730809512283,-15.75691659934241,-107.0,-117.0,0.6174774738370346,-6.0133333333333345,JAX
Joe Burrow,rushing_yards,9.5,UNDER,0.2176113360323887,0.2631578947368421,1.6304111206755496,-116.0,-108.0,0.5434703735585166,1.0,JAX
James Conner,rushing_yards,52.5,UNDER,0.2153110047846891,0.2631578947368421,19.905381667302695,-115.0,-109.0,0.5515919721207541,1.0,SF
Ricky Pearsall,receptions,3.5,OVER,0.2147269582406721,0.6842105263157895,4.315165778459981,113.0,-144.0,0.6206624605678234,1.2000000000000002,JAX
Trey McBride,receiving_yards,67.5,UNDER,0.2133928384523464,0.260540810836753,38.69253090059892,-113.0,-111.0,0.6055889757985813,1.067591836734694,SEA
Jonnu Smith,receiving_yards,27.5,UNDER,0.213137209711867,0.2519790693579005,12.152819677160547,-109.0,-115.0,0.5817254120540185,0.9763440860215054,LAC
Marcus Mariota,rushing_yards,34.5,UNDER,0.2130325814536339,0.2631578947368422,17.204854208534922,-114.0,-110.0,0.5432965428919628,1.053658536585366,DET
Dont'e Thornton Jr.,receptions,1.5,UNDER,0.2107871551124508,0.3486842105263157,0.3289977230698249,-162.0,127.0,0.5880326120762429,1.4,DEN
