player,market,line,direction,odds,model_prob,dk_prob,edge,ev,kelly,matchup,commence_time
CeeDee Lamb,player_receptions,6.5,UNDER,-135,0.595,0.542,0.053,0.036,0.0121,Kansas City Chiefs @ Dallas Cowboys,2025-11-27T21:30:00Z
Jalen Coker,player_reception_yds,16.5,OVER,-120,0.563,0.51,0.053,0.033,0.0099,Carolina Panthers @ San Francisco 49ers,2025-11-25T01:15:59Z
Jahmyr Gibbs,player_rush_yds,69.5,UNDER,-112,0.544,0.5,0.044,0.03,0.0085,Green Bay Packers @ Detroit Lions,2025-11-27T18:00:00Z
Darius Slayton,player_reception_yds,37.5,UNDER,-114,0.549,0.504,0.044,0.03,0.0085,New York Giants @ New England Patriots,2025-12-02T01:15:00Z
Saquon Barkley,player_reception_yds,19.5,OVER,-114,0.548,0.504,0.044,0.029,0.0082,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Dallas Goedert,player_receptions,3.5,OVER,-112,0.543,0.498,0.045,0.028,0.0077,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Jalen Hurts,player_rush_attempts,7.5,UNDER,-121,0.563,0.517,0.046,0.028,0.0086,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
Jaxson Dart,player_pass_yds,206.5,UNDER,-112,0.542,0.5,0.042,0.026,0.0074,New York Giants @ New England Patriots,2025-12-02T01:15:00Z
Isaiah Likely,player_reception_yds,24.5,UNDER,-113,0.543,0.502,0.04,0.023,0.0064,Cincinnati Bengals @ Baltimore Ravens,2025-11-28T01:20:00Z
Dak Prescott,player_rush_yds,11.5,OVER,-106,0.526,0.487,0.038,0.022,0.0058,Kansas City Chiefs @ Dallas Cowboys,2025-11-27T21:30:00Z
Colston Loveland,player_reception_yds,28.5,UNDER,-113,0.542,0.502,0.04,0.021,0.0061,Chicago Bears @ Philadelphia Eagles,2025-11-28T20:00:00Z
KaVontae Turpin,player_reception_yds,15.5,OVER,-113,0.541,0.502,0.039,0.02,0.0057,Kansas City Chiefs @ Dallas Cowboys,2025-11-27T21:30:00Z
