player_name,position,team,week,stat_type,line,pred_mean,pred_std,prob_over_raw,actual_value,went_over,prob_over_calibrated
Travis Kelce,TE,KC,2,receiving_yards,99.5,47.0,16.45,0.011339204984665341,61,0,0.011339204984665341
Travis Kelce,TE,KC,2,receptions,3.5,2.0,1.0,0.10909682119561293,4,1,0.10909682119561293
Travis Kelce,TE,KC,2,receptions,4.5,2.0,1.0,0.02931223075135625,4,0,0.02931223075135625
Travis Kelce,TE,KC,2,receptions,5.5,2.0,1.0,0.01,4,0,0.01
DeAndre Hopkins,WR,BAL,2,receiving_yards,49.5,35.0,12.25,0.1601459073172916,64,1,0.1601459073172916
DeAndre Hopkins,WR,BAL,2,receiving_yards,59.5,35.0,12.25,0.057324175898868734,64,1,0.057324175898868734
DeAndre Hopkins,WR,BAL,2,receiving_yards,69.5,35.0,12.25,0.019023804266085742,64,0,0.019023804266085742
DeAndre Hopkins,WR,BAL,2,receiving_yards,79.5,35.0,12.25,0.01,64,0,0.01
DeAndre Hopkins,WR,BAL,2,receiving_yards,99.5,35.0,12.25,0.01,64,0,0.01
DeAndre Hopkins,WR,BAL,2,receptions,3.5,2.0,1.0,0.10909682119561293,2,0,0.10909682119561293
DeAndre Hopkins,WR,BAL,2,receptions,4.5,2.0,1.0,0.02931223075135625,2,0,0.02931223075135625
DeAndre Hopkins,WR,BAL,2,receptions,5.5,2.0,1.0,0.01,2,0,0.01
Geno Smith,QB,LV,2,passing_yards,199.5,362.0,126.69999999999999,0.8576100527041097,180,0,0.8576100527041097
Geno Smith,QB,LV,2,passing_yards,224.5,362.0,126.69999999999999,0.8204408321658382,180,0,0.8204408321658382
Geno Smith,QB,LV,2,passing_yards,249.5,362.0,126.69999999999999,0.776102097103678,180,0,0.776102097103678
Geno Smith,QB,LV,2,passing_yards,274.5,362.0,126.69999999999999,0.7244913563608735,180,0,0.7244913563608735
Geno Smith,QB,LV,2,passing_yards,299.5,362.0,126.69999999999999,0.6661021067466639,180,0,0.6661021067466639
Brandin Cooks,WR,NO,2,receiving_yards,49.5,26.0,10.0,0.035915845882761754,26,0,0.035915845882761754
Brandin Cooks,WR,NO,2,receiving_yards,59.5,26.0,10.0,0.01,26,0,0.01
Brandin Cooks,WR,NO,2,receiving_yards,69.5,26.0,10.0,0.01,26,0,0.01
Brandin Cooks,WR,NO,2,receptions,3.5,3.0,1.2000000000000002,0.358165954911269,2,0,0.358165954911269
Brandin Cooks,WR,NO,2,receptions,4.5,3.0,1.2000000000000002,0.14804719803168953,2,0,0.14804719803168953
Brandin Cooks,WR,NO,2,receptions,5.5,3.0,1.2000000000000002,0.05133579311531622,2,0,0.05133579311531622
Brandin Cooks,WR,NO,2,receptions,6.5,3.0,1.2000000000000002,0.0165719440947385,2,0,0.0165719440947385
Brandin Cooks,WR,NO,2,receptions,7.5,3.0,1.2000000000000002,0.01,2,0,0.01
Davante Adams,WR,LA,2,receiving_yards,49.5,51.0,17.849999999999998,0.5293778879892552,106,1,0.5293778879892552
Davante Adams,WR,LA,2,receiving_yards,59.5,51.0,17.849999999999998,0.3392436312341828,106,1,0.3392436312341828
Davante Adams,WR,LA,2,receiving_yards,69.5,51.0,17.849999999999998,0.18985072856508722,106,1,0.18985072856508722
Davante Adams,WR,LA,2,receiving_yards,79.5,51.0,17.849999999999998,0.09662553464828694,106,1,0.09662553464828694
Davante Adams,WR,LA,2,receiving_yards,99.5,51.0,17.849999999999998,0.021797496820180062,106,1,0.021797496820180062
Davante Adams,WR,LA,2,receptions,3.5,4.0,1.6,0.6076631698328916,6,1,0.6076631698328916
Davante Adams,WR,LA,2,receptions,4.5,4.0,1.6,0.3923368301671084,6,1,0.3923368301671084
Davante Adams,WR,LA,2,receptions,5.5,4.0,1.6,0.2120688043571053,6,1,0.2120688043571053
Davante Adams,WR,LA,2,receptions,6.5,4.0,1.6,0.10087862273005654,6,0,0.10087862273005654
Davante Adams,WR,LA,2,receptions,7.5,4.0,1.6,0.04468087027265022,6,0,0.04468087027265022
Mike Evans,WR,TB,2,receiving_yards,49.5,51.0,17.849999999999998,0.5293778879892552,56,1,0.5293778879892552
Mike Evans,WR,TB,2,receiving_yards,59.5,51.0,17.849999999999998,0.3392436312341828,56,0,0.3392436312341828
Mike Evans,WR,TB,2,receiving_yards,69.5,51.0,17.849999999999998,0.18985072856508722,56,0,0.18985072856508722
Mike Evans,WR,TB,2,receiving_yards,79.5,51.0,17.849999999999998,0.09662553464828694,56,0,0.09662553464828694
Mike Evans,WR,TB,2,receiving_yards,99.5,51.0,17.849999999999998,0.021797496820180062,56,0,0.021797496820180062
Mike Evans,WR,TB,2,receptions,3.5,5.0,2.0,0.7407748991821539,5,1,0.7407748991821539
Mike Evans,WR,TB,2,receptions,4.5,5.0,2.0,0.58661757891733,5,1,0.58661757891733
Mike Evans,WR,TB,2,receptions,5.5,5.0,2.0,0.41338242108267,5,0,0.41338242108267
Mike Evans,WR,TB,2,receptions,6.5,5.0,2.0,0.2592251008178461,5,0,0.2592251008178461
Mike Evans,WR,TB,2,receptions,7.5,5.0,2.0,0.14804719803168953,5,0,0.14804719803168953
Stefon Diggs,WR,NE,2,receiving_yards,49.5,57.0,19.95,0.628623419215673,32,0,0.628623419215673
Stefon Diggs,WR,NE,2,receiving_yards,59.5,57.0,19.95,0.4562525009591515,32,0,0.4562525009591515
Stefon Diggs,WR,NE,2,receiving_yards,69.5,57.0,19.95,0.29375979941869024,32,0,0.29375979941869024
Stefon Diggs,WR,NE,2,receiving_yards,79.5,57.0,19.95,0.17094461198713207,32,0,0.17094461198713207
Stefon Diggs,WR,NE,2,receiving_yards,99.5,57.0,19.95,0.04822476881363247,32,0,0.04822476881363247
Stefon Diggs,WR,NE,2,receptions,3.5,6.0,2.4000000000000004,0.8112776300997288,4,1,0.8112776300997288
Stefon Diggs,WR,NE,2,receptions,4.5,6.0,2.4000000000000004,0.7057850278370111,4,0,0.7057850278370111
Stefon Diggs,WR,NE,2,receptions,5.5,6.0,2.4000000000000004,0.5724041114770213,4,0,0.5724041114770213
Stefon Diggs,WR,NE,2,receptions,6.5,6.0,2.4000000000000004,0.4275958885229787,4,0,0.4275958885229787
Stefon Diggs,WR,NE,2,receptions,7.5,6.0,2.4000000000000004,0.29421497216298886,4,0,0.29421497216298886
Sterling Shepard,WR,TB,2,receiving_yards,49.5,39.0,13.649999999999999,0.25408873728969605,34,0,0.25408873728969605
Sterling Shepard,WR,TB,2,receiving_yards,59.5,39.0,13.649999999999999,0.10884785368430305,34,0,0.10884785368430305
Sterling Shepard,WR,TB,2,receiving_yards,69.5,39.0,13.649999999999999,0.0419586983246627,34,0,0.0419586983246627
Sterling Shepard,WR,TB,2,receiving_yards,79.5,39.0,13.649999999999999,0.015461100972823383,34,0,0.015461100972823383
Sterling Shepard,WR,TB,2,receiving_yards,99.5,39.0,13.649999999999999,0.01,34,0,0.01
Sterling Shepard,WR,TB,2,receptions,3.5,3.0,1.2000000000000002,0.358165954911269,4,1,0.358165954911269
Sterling Shepard,WR,TB,2,receptions,4.5,3.0,1.2000000000000002,0.14804719803168953,4,0,0.14804719803168953
Sterling Shepard,WR,TB,2,receptions,5.5,3.0,1.2000000000000002,0.05133579311531622,4,0,0.05133579311531622
Sterling Shepard,WR,TB,2,receptions,6.5,3.0,1.2000000000000002,0.0165719440947385,4,0,0.0165719440947385
Sterling Shepard,WR,TB,2,receptions,7.5,3.0,1.2000000000000002,0.01,4,0,0.01
Kalif Raymond,WR,DET,2,receptions,3.5,2.0,1.0,0.10909682119561293,1,0,0.10909682119561293
Kalif Raymond,WR,DET,2,receptions,4.5,2.0,1.0,0.02931223075135625,1,0,0.02931223075135625
Kalif Raymond,WR,DET,2,receptions,5.5,2.0,1.0,0.01,1,0,0.01
Derrick Henry,RB,BAL,2,rushing_yards,49.5,169.0,59.15,0.9441914762170003,23,0,0.9441914762170003
Derrick Henry,RB,BAL,2,rushing_yards,59.5,169.0,59.15,0.9303265272978292,23,0,0.9303265272978292
Derrick Henry,RB,BAL,2,rushing_yards,69.5,169.0,59.15,0.9133331764019513,23,0,0.9133331764019513
Derrick Henry,RB,BAL,2,rushing_yards,79.5,169.0,59.15,0.8926732981333372,23,0,0.8926732981333372
Derrick Henry,RB,BAL,2,rushing_yards,99.5,169.0,59.15,0.8382101283547725,23,0,0.8382101283547725
Tyreek Hill,WR,MIA,2,receiving_yards,49.5,40.0,14.0,0.27888482197713693,109,1,0.27888482197713693
Tyreek Hill,WR,MIA,2,receiving_yards,59.5,40.0,14.0,0.12455335818741653,109,1,0.12455335818741653
Tyreek Hill,WR,MIA,2,receiving_yards,69.5,40.0,14.0,0.04973651155855674,109,1,0.04973651155855674
Tyreek Hill,WR,MIA,2,receiving_yards,79.5,40.0,14.0,0.018890961937038986,109,1,0.018890961937038986
Tyreek Hill,WR,MIA,2,receiving_yards,99.5,40.0,14.0,0.01,109,1,0.01
Tyreek Hill,WR,MIA,2,receptions,3.5,4.0,1.6,0.6076631698328916,6,1,0.6076631698328916
Tyreek Hill,WR,MIA,2,receptions,4.5,4.0,1.6,0.3923368301671084,6,1,0.3923368301671084
Tyreek Hill,WR,MIA,2,receptions,5.5,4.0,1.6,0.2120688043571053,6,1,0.2120688043571053
Tyreek Hill,WR,MIA,2,receptions,6.5,4.0,1.6,0.10087862273005654,6,0,0.10087862273005654
Tyreek Hill,WR,MIA,2,receptions,7.5,4.0,1.6,0.04468087027265022,6,0,0.04468087027265022
Dak Prescott,QB,DAL,2,passing_yards,199.5,188.0,65.8,0.43913315300736133,361,1,0.43913315300736133
Dak Prescott,QB,DAL,2,passing_yards,224.5,188.0,65.8,0.31505404437873685,361,1,0.31505404437873685
Dak Prescott,QB,DAL,2,passing_yards,249.5,188.0,65.8,0.21273617494828656,361,1,0.21273617494828656
Dak Prescott,QB,DAL,2,passing_yards,274.5,188.0,65.8,0.1370009734389792,361,1,0.1370009734389792
Dak Prescott,QB,DAL,2,passing_yards,299.5,188.0,65.8,0.08530634064201936,361,1,0.08530634064201936
Hunter Henry,TE,NE,2,receiving_yards,49.5,66.0,23.099999999999998,0.7310585786300049,9,0,0.7310585786300049
Hunter Henry,TE,NE,2,receiving_yards,59.5,66.0,23.099999999999998,0.5972306674028254,9,0,0.5972306674028254
Hunter Henry,TE,NE,2,receiving_yards,69.5,66.0,23.099999999999998,0.44716764966735834,9,0,0.44716764966735834
Hunter Henry,TE,NE,2,receiving_yards,79.5,66.0,23.099999999999998,0.30614974566937303,9,0,0.30614974566937303
Hunter Henry,TE,NE,2,receiving_yards,99.5,66.0,23.099999999999998,0.11605783105467005,9,0,0.11605783105467005
Hunter Henry,TE,NE,2,receptions,3.5,4.0,1.6,0.6076631698328916,1,0,0.6076631698328916
Hunter Henry,TE,NE,2,receptions,4.5,4.0,1.6,0.3923368301671084,1,0,0.3923368301671084
Hunter Henry,TE,NE,2,receptions,5.5,4.0,1.6,0.2120688043571053,1,0,0.2120688043571053
Hunter Henry,TE,NE,2,receptions,6.5,4.0,1.6,0.10087862273005654,1,0,0.10087862273005654
Hunter Henry,TE,NE,2,receptions,7.5,4.0,1.6,0.04468087027265022,1,0,0.04468087027265022
Jared Goff,QB,DET,2,passing_yards,199.5,225.0,78.75,0.6114314709070727,334,1,0.6114314709070727
Jared Goff,QB,DET,2,passing_yards,224.5,225.0,78.75,0.5022222075904219,334,1,0.5022222075904219
Jared Goff,QB,DET,2,passing_yards,249.5,225.0,78.75,0.3928004994470641,334,1,0.3928004994470641
Jared Goff,QB,DET,2,passing_yards,274.5,225.0,78.75,0.2931777789064325,334,1,0.2931777789064325
Jared Goff,QB,DET,2,passing_yards,299.5,225.0,78.75,0.2100798041022781,334,1,0.2100798041022781
Mo Alie-Cox,TE,IND,2,receiving_yards,49.5,20.0,10.0,0.015828313967089835,8,0,0.015828313967089835
Mo Alie-Cox,TE,IND,2,receiving_yards,59.5,20.0,10.0,0.01,8,0,0.01
Christian McCaffrey,RB,SF,2,rushing_yards,49.5,69.0,24.15,0.7559191277596622,55,1,0.7559191277596622
Christian McCaffrey,RB,SF,2,rushing_yards,59.5,69.0,24.15,0.6343036961442727,55,0,0.6343036961442727
Christian McCaffrey,RB,SF,2,rushing_yards,69.5,69.0,24.15,0.49275413048855643,55,0,0.49275413048855643
Christian McCaffrey,RB,SF,2,rushing_yards,79.5,69.0,24.15,0.3523567946760042,55,0,0.3523567946760042
Christian McCaffrey,RB,SF,2,rushing_yards,99.5,69.0,24.15,0.14577678643875625,55,0,0.14577678643875625
Christian McCaffrey,RB,SF,2,receiving_yards,49.5,73.0,25.549999999999997,0.7837527603609071,52,1,0.7837527603609071
Christian McCaffrey,RB,SF,2,receiving_yards,59.5,73.0,25.549999999999997,0.6769359430686903,52,0,0.6769359430686903
Christian McCaffrey,RB,SF,2,receiving_yards,69.5,73.0,25.549999999999997,0.5477987923716423,52,0,0.5477987923716423
Christian McCaffrey,RB,SF,2,receiving_yards,79.5,73.0,25.549999999999997,0.41188837659420285,52,0,0.41188837659420285
Christian McCaffrey,RB,SF,2,receiving_yards,99.5,73.0,25.549999999999997,0.18968553256270404,52,0,0.18968553256270404
Christian McCaffrey,RB,SF,2,receptions,3.5,9.0,3.6,0.8946259115182215,6,1,0.8946259115182215
Christian McCaffrey,RB,SF,2,receptions,4.5,9.0,3.6,0.8519528019683105,6,1,0.8519528019683105
Christian McCaffrey,RB,SF,2,receptions,5.5,9.0,3.6,0.7959402230407706,6,1,0.7959402230407706
Christian McCaffrey,RB,SF,2,receptions,6.5,9.0,3.6,0.7255622121589215,6,0,0.7255622121589215
Christian McCaffrey,RB,SF,2,receptions,7.5,9.0,3.6,0.641834045088731,6,0,0.641834045088731
Aaron Jones,RB,MIN,2,rushing_yards,49.5,23.0,10.0,0.023892689410582757,23,0,0.023892689410582757
Aaron Jones,RB,MIN,2,rushing_yards,59.5,23.0,10.0,0.01,23,0,0.01
Aaron Jones,RB,MIN,2,receiving_yards,49.5,44.0,15.399999999999999,0.3775406687981454,0,0,0.3775406687981454
Aaron Jones,RB,MIN,2,receiving_yards,59.5,44.0,15.399999999999999,0.19637748346477046,0,0,0.19637748346477046
Aaron Jones,RB,MIN,2,receiving_yards,69.5,44.0,15.399999999999999,0.08962830335716476,0,0,0.08962830335716476
Aaron Jones,RB,MIN,2,receiving_yards,79.5,44.0,15.399999999999999,0.038152202775973754,0,0,0.038152202775973754
Aaron Jones,RB,MIN,2,receiving_yards,99.5,44.0,15.399999999999999,0.01,0,0,0.01
Aaron Jones,RB,MIN,2,receptions,3.5,3.0,1.2000000000000002,0.358165954911269,0,0,0.358165954911269
Aaron Jones,RB,MIN,2,receptions,4.5,3.0,1.2000000000000002,0.14804719803168953,0,0,0.14804719803168953
Aaron Jones,RB,MIN,2,receptions,5.5,3.0,1.2000000000000002,0.05133579311531622,0,0,0.05133579311531622
Aaron Jones,RB,MIN,2,receptions,6.5,3.0,1.2000000000000002,0.0165719440947385,0,0,0.0165719440947385
Aaron Jones,RB,MIN,2,receptions,7.5,3.0,1.2000000000000002,0.01,0,0,0.01
Samaje Perine,RB,CIN,2,receptions,3.5,2.0,1.0,0.10909682119561293,0,0,0.10909682119561293
Samaje Perine,RB,CIN,2,receptions,4.5,2.0,1.0,0.02931223075135625,0,0,0.02931223075135625
Samaje Perine,RB,CIN,2,receptions,5.5,2.0,1.0,0.01,0,0,0.01
James Conner,RB,ARI,2,rushing_yards,49.5,39.0,13.649999999999999,0.25408873728969605,34,0,0.25408873728969605
