week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit,result
6,D.Metcalf,WR,player_reception_yds,Under 69.5,69.5,0.6027749787345476,65.25,0.5238095238095238,0.0789654549250237,95,OVER,UNDER,False,False,-1.0,unknown
4,D.Prescott,QB,player_pass_yds,Over 249.5,249.5,0.6016035923480088,266.6666666666667,0.5238095238095238,0.0777940685384849,319,OVER,OVER,True,True,0.909,unknown
6,T.Lawrence,QB,player_pass_yds,Over 199.5,199.5,0.6014243726298795,213.2,0.5238095238095238,0.0776148488203556,258,OVER,OVER,True,True,0.909,unknown
2,P.Mahomes,QB,player_pass_yds,Under 274.5,274.5,0.6009527504975559,258.0,0.5238095238095238,0.077143226688032,187,UNDER,UNDER,True,True,0.909,unknown
4,K.Gainwell,RB,player_rush_yds,Under 19.5,19.5,0.6004629037367468,18.33333333333333,0.5238095238095238,0.0766533799272229,99,OVER,UNDER,False,False,-1.0,unknown
8,T.Tagovailoa,QB,player_pass_yds,Under 199.5,199.5,0.6003987231957355,187.57142857142856,0.5238095238095238,0.0765891993862116,205,OVER,UNDER,False,False,-1.0,unknown
8,J.Smith-Schuster,WR,player_reception_yds,Under 39.5,39.5,0.6001927923198611,37.142857142857146,0.5238095238095238,0.0763832685103372,29,UNDER,UNDER,True,True,0.909,unknown
4,S.Rattler,QB,player_pass_yds,Over 199.5,199.5,0.6000672312456709,213.0,0.5238095238095238,0.076257707436147,126,UNDER,OVER,False,False,-1.0,unknown
7,K.Walker,RB,player_rush_yds,Under 64.5,64.5,0.5997682346847852,60.66666666666666,0.5238095238095238,0.0759587108752614,66,OVER,UNDER,False,False,-1.0,unknown
3,C.Hubbard,RB,player_rush_yds,Over 44.5,44.5,0.5997235375386076,47.5,0.5238095238095238,0.0759140137290838,73,OVER,OVER,True,True,0.909,unknown
5,P.Mahomes,QB,player_pass_yds,Under 249.5,249.5,0.5992209738032998,234.75,0.5238095238095238,0.0754114499937759,318,OVER,UNDER,False,False,-1.0,unknown
8,D.Njoku,TE,player_reception_yds,Under 39.5,39.5,0.5991397492875565,37.16666666666666,0.5238095238095238,0.0753302254780327,37,UNDER,UNDER,True,True,0.909,unknown
5,T.Lawrence,QB,player_pass_yds,Under 224.5,224.5,0.599049484117521,211.25,0.5238095238095238,0.0752399603079971,221,UNDER,UNDER,True,True,0.909,unknown
7,B.Nix,QB,player_pass_yds,Over 199.5,199.5,0.598933404603645,212.83333333333331,0.5238095238095238,0.0751238807941211,279,OVER,OVER,True,True,0.909,unknown
4,B.Hall,RB,player_receptions,Over 2.5,2.5,0.5987063256829237,2.6666666666666665,0.5238095238095238,0.0748968018733998,5,OVER,OVER,True,True,0.909,unknown
