game_id,away_team,home_team,commence_time,sportsbook,market,side,point,price,season,week,archived_at
2025_07_PHI_MIN,PHI,MIN,2025-10-19T17:00:00Z,draftkings,spread,home,1.5,-108,2025,7,2025-11-17T17:19:06.843851
2025_07_PHI_MIN,PHI,MIN,2025-10-19T17:00:00Z,draftkings,spread,away,-1.5,-112,2025,7,2025-11-17T17:19:06.843852
2025_07_PHI_MIN,PHI,MIN,2025-10-19T17:00:00Z,draftkings,total,over,43.5,-115,2025,7,2025-11-17T17:19:06.843854
2025_07_PHI_MIN,PHI,MIN,2025-10-19T17:00:00Z,draftkings,total,under,43.5,-105,2025,7,2025-11-17T17:19:06.843855
2025_07_NE_TEN,NE,TEN,2025-10-19T17:00:00Z,draftkings,moneyline,away,,-345,2025,7,2025-11-17T17:19:06.843860
2025_07_NE_TEN,NE,TEN,2025-10-19T17:00:00Z,draftkings,moneyline,home,,275,2025,7,2025-11-17T17:19:06.843862
2025_07_NE_TEN,NE,TEN,2025-10-19T17:00:00Z,draftkings,spread,away,-7.0,-110,2025,7,2025-11-17T17:19:06.843863
2025_07_NE_TEN,NE,TEN,2025-10-19T17:00:00Z,draftkings,spread,home,7.0,-110,2025,7,2025-11-17T17:19:06.843865
2025_07_NE_TEN,NE,TEN,2025-10-19T17:00:00Z,draftkings,total,over,42.5,-102,2025,7,2025-11-17T17:19:06.843866
2025_07_NE_TEN,NE,TEN,2025-10-19T17:00:00Z,draftkings,total,under,42.5,-118,2025,7,2025-11-17T17:19:06.843868
2025_07_NYG_DEN,NYG,DEN,2025-10-19T20:05:00Z,draftkings,moneyline,home,,-360,2025,7,2025-11-17T17:19:06.843873
2025_07_NYG_DEN,NYG,DEN,2025-10-19T20:05:00Z,draftkings,moneyline,away,,285,2025,7,2025-11-17T17:19:06.843874
2025_07_NYG_DEN,NYG,DEN,2025-10-19T20:05:00Z,draftkings,spread,home,-7.0,-110,2025,7,2025-11-17T17:19:06.843876
2025_07_NYG_DEN,NYG,DEN,2025-10-19T20:05:00Z,draftkings,spread,away,7.0,-110,2025,7,2025-11-17T17:19:06.843877
