points_per_play,epa_total_factor,mae,bias,rmse,clip_rate,n_games
0.36,2.0,10.270173502521576,-2.1098674503467403,13.480777604925606,0.0,221
0.36,3.0,10.257073895903721,-2.0720817185065346,13.459291834225315,0.0,221
0.36,4.0,10.24891602410089,-2.034295986666329,13.441062446504555,0.0,221
0.36,5.0,10.241726784609519,-1.996510254826124,13.426102705902267,0.0,221
0.36,6.0,10.238388477353837,-1.9587245229859183,13.414423551336363,0.0,221
0.36,7.0,10.236130448315526,-1.9209387911457123,13.406033556815734,0.0,221
0.36,8.0,10.233873923266328,-1.883153059305507,13.400938900125682,0.0,221
0.37,2.0,10.176849804695937,-0.8792844940873121,13.34943442484793,0.0,221
0.37,3.0,10.15370172865044,-0.8414987622471066,13.331300816463045,0.0,221
0.37,4.0,10.132592950936166,-0.8037130304069009,13.316464043482112,0.0,221
0.37,5.0,10.118152813925143,-0.7659272985666955,13.304935135140118,0.0,221
0.37,6.0,10.11414538959164,-0.7281415667264902,13.296722695680705,0.0,221
0.37,7.0,10.117638036160598,-0.6903558348862848,13.291832872406465,0.0,221
0.37,8.0,10.121385739580106,-0.6525701030460791,13.290269332739278,0.0,221
0.38,2.0,10.2267760572987,0.3512984621721163,13.33110091825554,0.0,221
0.38,3.0,10.204110250359216,0.38908419401232147,13.316510197448876,0.0,221
0.38,4.0,10.18825604294965,0.4268699258525271,13.305227812834188,0.0,221
0.38,5.0,10.175317698095949,0.4646556576927322,13.297262185528393,0.0,221
0.38,6.0,10.163733975816678,0.5024413895329376,13.292619278252143,0.0,221
0.38,7.0,10.154495861374638,0.5402271213731434,13.291302573075678,0.0,221
0.38,8.0,10.151572978816288,0.5780128532133489,13.293313058381873,0.0,221
0.39,2.0,10.387844437777732,1.581881418431544,13.426240036646893,0.0,221
0.39,3.0,10.370378512586198,1.619667150271749,13.415294399231016,0.0,221
0.39,4.0,10.356232531288825,1.657452882111955,13.407638766055282,0.0,221
0.39,5.0,10.343210639900285,1.6952386139521602,13.403278774636755,0.0,221
0.39,6.0,10.330668912445063,1.7330243457923655,13.402217641377051,0.0,221
0.39,7.0,10.324856851903156,1.7708100776325713,13.404456149715985,0.0,221
0.39,8.0,10.32455952481561,1.808595809472777,13.409992647242186,0.0,221
0.4,2.0,10.646895751883445,2.8124643746909714,13.632476258925,0.0,221
0.4,3.0,10.630820317244305,2.850250106531177,13.625183352779723,0.0,221
0.4,4.0,10.619011589753024,2.8880358383713824,13.62113376375799,0.0,221
0.4,5.0,10.613305452309438,2.925821570211588,13.62033038476382,0.0,221
0.4,6.0,10.609996730653517,2.963607302051793,13.622773790115707,0.0,221
0.4,7.0,10.609868203867634,3.001393033891999,13.628462233495634,0.0,221
0.4,8.0,10.610941812823516,3.039178765732205,13.637391654183011,0.0,221
