week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit
1,J.Nailor,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,1,UNDER,OVER,False,False,-1.0
1,J.Nailor,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,28,UNDER,UNDER,True,True,0.909
1,J.Nailor,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,28,OVER,OVER,True,True,0.909
1,J.Ford,RB,player_rush_yds,Over 19.5,19.5,0.92,60.0,0.5238095238095238,0.3961904761904762,8,UNDER,OVER,False,False,-1.0
1,G.Pickens,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,UNDER,UNDER,True,True,0.909
1,G.Pickens,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,UNDER,UNDER,True,True,0.909
1,G.Pickens,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,30,OVER,OVER,True,True,0.909
1,J.Williams,WR,player_receptions,Under 6.5,6.5,0.92,4.5,0.5238095238095238,0.3961904761904762,4,UNDER,UNDER,True,True,0.909
1,J.Williams,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,4,OVER,OVER,True,True,0.909
1,J.Williams,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,23,UNDER,OVER,False,False,-1.0
1,C.Olave,WR,player_receptions,Under 6.5,6.5,0.92,4.5,0.5238095238095238,0.3961904761904762,7,OVER,UNDER,False,False,-1.0
1,C.Olave,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,7,OVER,OVER,True,True,0.909
1,C.Olave,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,54,UNDER,UNDER,True,True,0.909
1,C.Olave,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,54,UNDER,UNDER,True,True,0.909
1,C.Olave,WR,player_reception_yds,Over 24.5,24.5,0.92,50.0,0.5238095238095238,0.3961904761904762,54,OVER,OVER,True,True,0.909
1,D.London,WR,player_receptions,Under 6.5,6.5,0.92,4.5,0.5238095238095238,0.3961904761904762,8,OVER,UNDER,False,False,-1.0
1,D.London,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,8,OVER,OVER,True,True,0.909
1,D.London,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,55,UNDER,UNDER,True,True,0.909
1,D.London,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,55,UNDER,UNDER,True,True,0.909
1,G.Pickens,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,3,OVER,OVER,True,True,0.909
1,G.Pickens,WR,player_receptions,Under 6.5,6.5,0.92,4.5,0.5238095238095238,0.3961904761904762,3,UNDER,UNDER,True,True,0.909
1,J.Cook,RB,player_rush_yds,Over 19.5,19.5,0.92,60.0,0.5238095238095238,0.3961904761904762,44,OVER,OVER,True,True,0.909
1,R.White,RB,player_rush_yds,Over 19.5,19.5,0.92,60.0,0.5238095238095238,0.3961904761904762,14,UNDER,OVER,False,False,-1.0
1,T.Allgeier,RB,player_rush_yds,Over 19.5,19.5,0.92,60.0,0.5238095238095238,0.3961904761904762,24,OVER,OVER,True,True,0.909
1,K.Shakir,WR,player_receptions,Under 6.5,6.5,0.92,4.5,0.5238095238095238,0.3961904761904762,6,UNDER,UNDER,True,True,0.909
1,K.Shakir,WR,player_receptions,Over 2.5,2.5,0.92,4.5,0.5238095238095238,0.3961904761904762,6,OVER,OVER,True,True,0.909
1,K.Shakir,WR,player_reception_yds,Under 84.5,84.5,0.92,50.0,0.5238095238095238,0.3961904761904762,64,UNDER,UNDER,True,True,0.909
1,K.Shakir,WR,player_reception_yds,Under 69.5,69.5,0.92,50.0,0.5238095238095238,0.3961904761904762,64,UNDER,UNDER,True,True,0.909
