week,player,stat_type,line,pred_mean,actual,bet_side,model_prob,edge,won
7,Chuba Hubbard,receiving_yards,7.5,0.0,24,under,1.0,0.47393364928909953,False
7,Mason Taylor,receptions,4.5,3.1059699999999997,3,under,0.7573041985236979,0.18833868128231857,True
7,Breece Hall,receptions,3.5,0.0,2,under,1.0,0.42194092827004215,True
7,Josh Reynolds,receptions,2.5,1.60485,3,under,0.7410493765974819,0.2459998716469869,False
7,Ja'Tavion Sanders,receptions,2.5,2.9006599999999993,0,over,0.5821804038494036,0.08466796603845833,False
7,Rico Dowdle,receptions,1.5,0.0,1,under,1.0,0.5934959349593496,True
7,Chuba Hubbard,receptions,1.5,0.0,2,under,1.0,0.4366812227074236,False
7,Tommy Tremble,receptions,1.5,2.5480699999999996,1,over,0.7182738667183766,0.22807778828700404,False
7,Breece Hall,rushing_yards,68.5,81.07302897171355,38,over,0.6002746563606169,0.07197276956816412,False
7,Rico Dowdle,rushing_yards,63.5,85.48989321147091,79,over,0.6641589876693632,0.14034946385983937,True
7,Chuba Hubbard,rushing_yards,32.5,87.03842719089293,31,over,0.8520206887440822,0.3193104083702505,False
7,Caleb Williams,passing_yards,220.5,158.53360009952561,172,under,0.7831406661206137,0.2548387793281609,True
7,Spencer Rattler,passing_yards,202.5,151.29816572565286,233,under,0.752263845289255,0.22845432147973121,False
7,Chris Olave,receiving_yards,58.5,76.63170774040378,98,over,0.6582117629559234,0.1255014825820917,True
7,Rome Odunze,receiving_yards,58.5,67.49744538030846,31,over,0.5877595517598441,0.0616932010489436,False
7,DJ Moore,receiving_yards,35.5,41.873610978251115,43,over,0.5844171466026622,0.05835079589176173,True
7,Juwan Johnson,receiving_yards,26.5,35.79730801481956,79,over,0.6309575628837328,0.107148039074209,True
7,Olamide Zaccheaus,receiving_yards,26.5,30.440946564216546,9,over,0.5763108952345672,0.05250137142504341,False
7,Alvin Kamara,receiving_yards,21.5,0.0,1,under,1.0,0.4694835680751174,True
7,D'Andre Swift,receiving_yards,16.5,0.0,14,under,1.0,0.4672897196261683,True
7,Cole Kmet,receiving_yards,13.5,27.566007119316776,16,over,0.744399199975788,0.20736216293875087,True
7,Brandin Cooks,receiving_yards,11.5,21.74873776701392,3,over,0.6889339962094981,0.1562237158356664,False
7,Chris Olave,receptions,5.5,5.0431550000000005,5,under,0.5738812939383503,0.11091833097538734,True
7,Alvin Kamara,receptions,3.5,0.0,3,under,1.0,0.4444444444444444,True
7,DJ Moore,receptions,3.5,2.8837900000000003,3,under,0.63009318309207,0.05562509798568693,True
7,Juwan Johnson,receptions,3.5,2.5480699999999996,5,under,0.7001133920974234,0.09537030909347088,False
7,Olamide Zaccheaus,receptions,2.5,3.3558199999999996,2,over,0.6652364225163769,0.060493339512424416,False
7,D'Andre Swift,receptions,2.5,0.0,1,under,1.0,0.49504950495049505,True
7,Luther Burden III,receptions,2.5,1.6681599999999999,1,under,0.7218829930442465,0.10067087183212531,True
7,Cole Kmet,receptions,1.5,2.5480699999999996,1,over,0.7182738667183766,0.1990430974876073,False
7,D'Andre Swift,rushing_yards,54.5,87.5075583972954,124,over,0.7333601596273395,0.20064987925350775,True
7,Alvin Kamara,rushing_yards,45.5,79.23570721072177,28,over,0.7575058237619231,0.23369629995239927,False
7,Kendre Miller,rushing_yards,35.5,79.21209375918356,7,over,0.8200539866542451,0.2873437062804134,False
7,Kyle Monangai,rushing_yards,20.5,69.05809301461046,81,over,0.8747266283503934,0.3376895913133563,True
7,Tua Tagovailoa,passing_yards,185.5,149.46547811232094,100,under,0.6859719616844088,0.15767007489195595,True
7,Dillon Gabriel,passing_yards,171.5,132.5206969583708,116,under,0.7180035933737471,0.18529331299991536,True
7,Jaylen Waddle,receiving_yards,54.5,69.75216525503878,15,over,0.6449214210662955,0.118855070355395,False
7,Harold Fannin Jr.,receiving_yards,40.5,68.55298353753658,36,over,0.7543540718645403,0.22383763993965766,False
7,Jerry Jeudy,receiving_yards,35.5,53.85752291684531,17,over,0.7200944286727324,0.1917925418802796,False
7,Darren Waller,receiving_yards,31.5,42.019950588775814,0,over,0.626399930881473,0.09809804408902023,False
7,De'Von Achane,receiving_yards,28.5,0.0,16,under,1.0,0.4694835680751174,True
7,Malik Washington,receiving_yards,17.5,34.41055762363891,30,over,0.7570888790859086,0.23102252837500814,True
7,Julian Hill,receiving_yards,11.5,28.20089858813346,1,over,0.7400655114328623,0.22550240463674576,False
7,Quinshon Judkins,receiving_yards,9.5,0.0,0,under,1.0,0.4651162790697675,True
7,De'Von Achane,receptions,4.5,0.0,3,under,1.0,0.48309178743961356,True
7,Darren Waller,receptions,3.5,2.5480699999999996,0,under,0.7001133920974234,0.15882898842769866,True
7,Jerry Jeudy,receptions,3.5,4.915040000000001,2,over,0.7205585691925831,0.242089669671052,False
7,Malik Washington,receptions,2.5,2.970175,5,over,0.598587059180459,0.07477753537093512,True
7,Quinshon Judkins,receptions,1.5,0.0,0,under,1.0,0.5215311004784688,True
7,De'Von Achane,rushing_yards,64.5,81.93497488219921,82,over,0.6380684099368561,0.11425888612733226,True
7,Ollie Gordon II,rushing_yards,16.5,78.32806754286207,11,over,0.8866203227509718,0.358318435958519,False
7,Patrick Mahomes,passing_yards,258.5,153.98850527124043,286,under,0.9127868935570003,0.38227046163211764,False
7,Geno Smith,passing_yards,204.5,148.49496133674816,67,under,0.7757381960881411,0.24522176416325847,True
7,Xavier Worthy,receiving_yards,43.5,51.640752784460105,35,over,0.5926466642387237,0.05993638386489197,False
7,Travis Kelce,receiving_yards,38.5,65.48127868593961,54,over,0.7561408397717914,0.2300744890608909,True
7,Marquise Brown,receiving_yards,24.5,59.91750798999534,14,over,0.8102357670971154,0.27319873006007833,False
7,Ashton Jeanty,receiving_yards,18.5,0.0,13,under,1.0,0.4807692307692307,True
7,Brashard Smith,receiving_yards,13.5,0.0,42,under,1.0,0.47619047619047616,False
7,Isiah Pacheco,receiving_yards,9.5,0.0,-3,under,1.0,0.4807692307692307,True
7,Noah Gray,receiving_yards,9.5,25.089913691667935,28,over,0.7567279013984978,0.2374971321677285,True
7,Xavier Worthy,receptions,3.5,3.3558199999999996,3,under,0.5286602503108622,0.052469774120386004,True
