player,stat_type,line,over_odds,under_odds,actual_value,went_over,pred_mean_raw,pred_mean,defense_multiplier,home_away_multiplier,game_script_multiplier,target_share_multiplier,target_share,catch_rate_multiplier,catch_rate,cpoe_multiplier,cpoe,yac_multiplier,yac_pct,is_home,opponent_team,pred_std,prob_over_raw,week,position,prob_over_calibrated,market_prob_over,market_prob_under,edge_over,edge_under
Lamar Jackson,passing_yards,233.5,-113.0,-111.0,246,1,178.0279579930284,219.13200294549077,1.084330873853419,1.0908503767491926,1.0,1.0,,1.0,,1.0406162140765562,4.061621407655618,1.0,,True,CIN,44.89014368433231,0.3744575594273686,13,QB,0.4444444444444444,0.5305164319248826,0.5260663507109005,-0.0860719874804382,0.029489204844655115
Tua Tagovailoa,passing_yards,218.5,-112.0,-112.0,157,0,189.42562263095388,200.9006891258607,0.9453439941120385,1.1077431703497478,1.0,1.0,,1.0,,1.012776819182964,1.2776819182964083,1.0,,True,NO,64.81049297760356,0.3929838970696601,13,QB,0.4444444444444444,0.5283018867924528,0.5283018867924528,-0.0838574423480084,0.027253668763102756
Zay Flowers,receiving_yards,67.5,-114.0,-110.0,6,0,66.5418550702093,59.639676632008026,1.084330873853419,0.8192231731402239,1.0,1.1,0.28578352771976656,0.9655172413793104,0.7532467532467533,1.0,,0.95,0.43495400788436267,True,CIN,30.837698298732295,0.39940274704070267,13,WR,0.49999999999999994,0.5327102803738317,0.5238095238095238,-0.03271028037383178,-0.023809523809523836
Jaylen Waddle,receiving_yards,66.5,-114.0,-110.0,40,0,69.61731556837142,69.0813524078719,0.9453439941120385,1.0573378839590444,1.0,1.1,0.234919380504597,0.95,0.6712328767123288,1.0,,0.95,0.23545706371191136,True,NO,30.975063284108806,0.5332079985527108,13,WR,0.5100548446069469,0.5327102803738317,0.5238095238095238,-0.02265543576688478,-0.03386436841647078
De'Von Achane,receiving_yards,32.5,-114.0,-110.0,0,0,37.913953583851466,52.27526616214111,0.9453439941120385,1.2026410564225691,1.0,1.1,0.22109566960394975,1.05,0.7605633802816901,1.0,,1.05,1.2162162162162162,True,NO,23.720340331760532,0.7977704373681249,13,RB,0.5893311312104375,0.5327102803738317,0.5238095238095238,0.05662085083660573,-0.11314065501996129
Rashod Bateman,receiving_yards,31.5,-109.0,-115.0,0,0,19.283250116782835,22.61413588225134,1.084330873853419,1.24093567251462,1.0,0.947007349657998,0.1420511024486997,0.96875,0.5161290322580645,1.0,,0.95,0.18556701030927836,True,CIN,21.278575558006175,0.3381209846252229,13,WR,0.40937425951970563,0.5215311004784688,0.5348837209302325,-0.11215684095876322,0.05574201955006186
Malik Washington,receiving_yards,30.5,-115.0,-109.0,30,0,29.47071658062996,32.98835830394332,0.9453439941120385,1.0839650145772595,1.0,0.9908006303526975,0.14862009455290462,1.05,0.7021276595744681,1.0,,1.05,0.7863247863247863,True,NO,16.02554778527654,0.5616975259426483,13,WR,0.5100548446069469,0.5348837209302325,0.5215311004784688,-0.024828876323285565,-0.03158594508541579
Mark Andrews,receiving_yards,30.5,-111.0,-113.0,47,1,20.880644020296316,27.131341557968994,1.084330873853419,1.2352288488210819,1.0,1.0749070694462832,0.16123606041694247,0.95,0.717391304347826,1.0,,0.95,0.23859649122807017,True,CIN,24.138991467973742,0.4445067563439682,13,TE,0.5100548446069469,0.5260663507109005,0.5305164319248826,-0.01601150610395352,-0.04057127653182957
Isaiah Likely,receiving_yards,24.5,-113.0,-111.0,95,1,17.982577319494183,14.915372228262084,1.084330873853419,0.9417391304347826,1.0,0.9,0.11288275389207067,0.95,0.6842105263157895,1.0,,0.95,0.3671875,True,CIN,18.78575955091414,0.30495319170540314,13,TE,0.3240087140168778,0.5305164319248826,0.5260663507109005,-0.20650771790800482,0.14992493527222173
Nick Westbrook-Ikhine,receiving_yards,17.5,-110.0,-114.0,0,0,12.332953824238672,9.423733616181474,0.9453439941120385,0.9121951219512195,1.0,0.9,0.07019678472635461,1.0363636363636364,0.5789473684210527,1.0,,0.95,0.3146067415730337,True,NO,8.709828420302614,0.17689605026201383,13,WR,0.3125,0.5238095238095238,0.5327102803738317,-0.21130952380952384,0.15478971962616828
Justice Hill,receiving_yards,16.5,-111.0,-113.0,0,0,13.746892016629648,11.877601749559076,0.9579791649976186,0.9864734299516909,1.0033333333333332,0.9,0.11123869456249319,0.9642857142857143,0.7777777777777778,1.0,,1.05,1.0887573964497042,True,NYJ,15.982629459649136,0.3862088560780651,12,RB,0.44500607257581776,0.5260663507109005,0.5305164319248826,-0.08106027813508271,0.024477495499299562
DeAndre Hopkins,receiving_yards,15.5,-117.0,-107.0,25,1,13.37083971075009,17.64822488189812,1.084330873853419,1.4986175115207374,1.0,0.9,0.09529487120604241,0.95,0.5769230769230769,1.0,,0.95,0.14655172413793102,True,CIN,19.633922407173486,0.5435629126844481,13,WR,0.5100548446069469,0.5391705069124424,0.5169082125603864,-0.02911566230549545,-0.026963057167333382
Tanner Conner,receiving_yards,12.5,-115.0,-109.0,0,0,12.852749762921722,7.491507519781542,1.0354382560787831,0.6642570281124498,1.0433333333333332,0.9,0.06512417935567841,0.95,0.6428571428571429,1.0,,0.95,0.42857142857142855,True,BAL,9.363047936792093,0.29635218720963996,9,TE,0.3191489361702128,0.5348837209302325,0.5215311004784688,-0.21573478476001973,0.15931996335131837
