player,stat_type,line,over_odds,under_odds,actual_value,went_over,pred_mean_raw,pred_mean,defense_multiplier,home_away_multiplier,game_script_multiplier,target_share_multiplier,target_share,catch_rate_multiplier,catch_rate,cpoe_multiplier,cpoe,yac_multiplier,yac_pct,is_home,opponent_team,pred_std,prob_over_raw,week,position,prob_over_calibrated,market_prob_over,market_prob_under,edge_over,edge_under
Justice Hill,receiving_yards,16.5,-111.0,-113.0,12,0,14.605738096242124,13.417483766315742,0.957364970606736,0.945,1.0233333333333332,0.9,0.1162149599542334,1.05,0.8,1.0,,1.05,1.1210191082802548,False,MIN,16.868715761093714,0.4275027095293241,10,RB,0.5096961879631973,0.5260663507109005,0.5305164319248826,-0.0163701627477032,-0.0402126198880798
DeAndre Hopkins,receiving_yards,15.5,-117.0,-107.0,16,1,14.060078121317185,8.530345183001394,0.957364970606736,0.7624203821656051,1.0233333333333332,0.9,0.0744233050511654,0.95,0.6666666666666666,1.0,,0.95,0.1614583333333333,False,MIN,22.658962276074593,0.3791974236256926,10,WR,0.4385964912280701,0.5391705069124424,0.5169082125603864,-0.1005740156843722,0.0444952962115433
Tanner Conner,receiving_yards,12.5,-115.0,-109.0,0,0,12.852749762921722,7.694318532139035,1.0634697678131717,0.6642570281124498,1.0433333333333332,0.9,0.0651241793556784,0.95,0.6428571428571429,1.0,,0.95,0.4285714285714285,True,BAL,9.363047936792093,0.3038846000517756,9,TE,0.3215522788974589,0.5348837209302325,0.5215311004784688,-0.2133314420327736,0.1569166206240722
Derrick Henry,receiving_yards,6.5,-116.0,-108.0,9,1,3.457838536221305,5.879785952143067,0.957364970606736,1.9333333333333336,1.0233333333333332,0.9,0.0487223338732206,0.95,0.6,1.0,,1.05,0.8913043478260869,False,MIN,6.296257391725432,0.4607655744060391,10,RB,0.5100548446069469,0.5370370370370371,0.5192307692307693,-0.0269821924300901,-0.0292856138377162
Cedrick Wilson Jr.,receiving_yards,6.5,-114.0,-110.0,7,1,2.0,2.0970560351507928,1.0634697678131717,1.0,1.0433333333333332,0.9,0.037037037037037,1.0,1.0,1.0,,1.05,1.5,True,BAL,1.153380819332936,0.01,9,WR,0.1428571428571428,0.5327102803738317,0.5238095238095238,-0.3898531375166889,0.3333333333333333
Zay Flowers,receptions,5.5,107.0,-136.0,4,0,5.741754111884668,6.573222406036645,0.9441013681081348,1.025925925925926,1.0233333333333332,1.1,0.3036666363289647,1.05,0.7666666666666667,1.0,,1.0,,False,MIN,1.7525491637693282,0.7298561254921411,10,WR,0.4862385321100917,0.4830917874396135,0.576271186440678,0.0031467446704782,-0.0625097185507697
De'Von Achane,receptions,5.5,110.0,-140.0,6,1,4.86157913332945,4.815905862497308,0.8994284494227011,1.0166666666666666,1.0366666666666666,1.1,0.2107042311032401,0.95,0.7166666666666667,1.0,,1.0,,True,BUF,2.2236106773543893,0.3791742813424816,10,RB,0.3291139240506329,0.4761904761904761,0.5833333333333334,-0.1470765521398432,0.0875527426160337
Jaylen Waddle,receptions,5.5,119.0,-152.0,5,0,4.740631602099943,5.494309128652346,0.8994284494227011,1.076190476190476,1.0366666666666666,1.1,0.2111977613574703,1.05,0.6949152542372882,1.0,,1.0,,True,BUF,1.6666666666666667,0.4986378051312219,10,WR,0.4,0.45662100456621,0.6031746031746031,-0.05662100456621,-0.0031746031746031
Malik Washington,receptions,4.5,127.0,-163.0,2,0,3.573534238186169,3.014061837505277,0.8994284494227011,0.8666666666666667,1.0366666666666666,0.9940473312776356,0.1491070996916453,1.05,0.6829268292682927,1.0,,1.0,,True,BUF,1.2692955176439846,0.1208638267490753,10,WR,0.2671971202659679,0.4405286343612334,0.6197718631178707,-0.1733315140952655,0.1130310166161613
Mark Andrews,receptions,2.5,-171.0,133.0,3,1,2.9763550624526376,3.1521914551646475,0.9441013681081348,1.00625,1.0233333333333332,1.0375210300124489,0.1556281545018673,1.05,0.7878787878787878,1.0,,1.0,,False,MIN,2.2519832529192065,0.6139417722537032,10,TE,0.4862385321100917,0.6309963099630996,0.4291845493562232,-0.1447577778530078,0.0845769185336851
Justice Hill,receptions,2.5,-108.0,-118.0,1,0,2.0480608774621456,1.8231190689211625,0.9441013681081348,0.975,1.0233333333333332,0.9,0.1162149599542334,1.05,0.8,1.0,,1.0,,False,MIN,1.8516401995451028,0.3573476529041623,10,RB,0.3291139240506329,0.5192307692307693,0.5412844036697247,-0.1901168451801363,0.1296016722796423
Isaiah Likely,receptions,2.5,106.0,-135.0,2,0,2.3136287850923196,2.293384048358943,0.9441013681081348,1.2,1.0233333333333332,0.9,0.0943305335968379,0.95,0.8888888888888888,1.0,,1.0,,False,MIN,0.816496580927726,0.4001140819493669,10,TE,0.3291139240506329,0.4854368932038835,0.574468085106383,-0.1563229691532506,0.096417990842984
Rashod Bateman,receptions,2.5,122.0,-157.0,1,0,1.7611760195236903,1.4890012694646308,0.9441013681081348,0.9,1.0233333333333332,1.0058594588414382,0.1508789188262157,0.9666666666666666,0.5172413793103449,1.0,,1.0,,False,MIN,1.4577379737113252,0.2439855520915647,10,WR,0.3033707865168539,0.4504504504504504,0.6108949416342413,-0.1470796639335965,0.0857342718489047
Nick Westbrook-Ikhine,receptions,1.5,-159.0,125.0,1,0,1.5247189695699248,1.1960704790783052,0.8994284494227011,0.984,1.0366666666666666,0.9,0.073019001864768,0.95,0.5555555555555556,1.0,,1.0,,True,BUF,1.035098339013531,0.3845226887433891,10,WR,0.3291139240506329,0.6138996138996139,0.4444444444444444,-0.284785689848981,0.2264416315049227
