season,week,game,bet_type,direction,market_line,edge_pts,confidence,won,push,actual_margin,actual_cover,home_rest,away_rest,is_divisional,actual_total
2025,7,TB @ DET,spread,HOME,6.0,8.099917800657368,0.65,True,False,15.0,21.0,8,8,False,
2025,7,TB @ DET,total,UNDER,54.5,15.17035209177192,0.5826784189001569,True,False,,,8,8,False,33.0
2025,7,HOU @ SEA,spread,HOME,3.0,6.8116335410147695,0.65,True,False,8.0,11.0,8,15,False,
2025,7,HOU @ SEA,total,OVER,41.5,8.469365505490497,0.5351478668477856,True,False,,,8,15,False,46.0
2025,8,MIN @ LAC,spread,HOME,3.0,6.957087606948246,0.65,True,False,27.0,30.0,4,4,False,
2025,8,MIA @ ATL,spread,HOME,7.0,11.278654780022693,0.65,False,False,-24.0,-17.0,7,7,False,
2025,8,CHI @ BAL,spread,HOME,2.5,9.029143048171766,0.65,True,False,14.0,16.5,14,7,False,
2025,8,BUF @ CAR,spread,AWAY,-7.0,5.89161865722312,0.65,True,False,-31.0,-38.0,7,13,False,
2025,8,BUF @ CAR,total,UNDER,47.5,6.3983860065596785,0.5303923335311584,False,False,,,7,13,False,49.0
2025,8,NYJ @ CIN,spread,HOME,5.5,12.008071371406636,0.65,True,False,-1.0,4.5,10,7,False,
2025,8,SF @ HOU,total,OVER,41.5,10.015500537603279,0.5415643272310536,False,False,,,6,7,False,41.0
2025,8,CLE @ NE,spread,HOME,7.0,13.106231944533773,0.65,True,False,19.0,26.0,7,7,False,
2025,8,NYG @ PHI,spread,HOME,7.0,9.41968706105087,0.65,True,False,18.0,25.0,7,7,True,
2025,8,TB @ NO,spread,AWAY,-4.5,3.2892939952400573,0.5986788198572017,True,False,-20.0,-24.5,7,6,True,
2025,8,DAL @ DEN,total,UNDER,51.5,8.374504058499513,0.5431286959012724,False,False,,,7,7,False,68.0
2025,8,TEN @ IND,spread,HOME,15.5,19.60979277118841,0.65,True,False,24.0,39.5,7,7,True,
2025,8,TEN @ IND,total,UNDER,47.5,9.844561003266826,0.5467616647655175,False,False,,,7,7,True,52.0
2025,8,WAS @ KC,spread,HOME,10.5,10.106809110166287,0.65,True,False,21.0,31.5,8,8,False,
2025,9,BAL @ MIA,spread,AWAY,-7.5,10.029437093725093,0.65,True,False,-22.0,-29.5,4,4,False,
2025,9,BAL @ MIA,total,UNDER,51.5,11.77025670524556,0.5606168220320147,True,False,,,4,4,False,34.0
2025,9,CHI @ CIN,spread,HOME,-3.0,2.838533293426037,0.5851559988027811,False,False,-5.0,-8.0,7,7,False,
2025,9,CHI @ CIN,total,UNDER,51.5,10.86717747222742,0.5559659639819712,False,False,,,7,7,False,89.0
2025,9,MIN @ DET,spread,HOME,9.5,12.248948384998364,0.65,True,False,-3.0,6.5,13,10,True,
2025,9,MIN @ DET,total,UNDER,47.5,10.45754195319175,0.5496733242776608,False,False,,,13,10,True,51.0
2025,9,CAR @ GB,spread,HOME,12.5,15.414224934849575,0.65,True,False,-3.0,9.5,7,7,False,
2025,9,CAR @ GB,total,OVER,43.5,7.0565757009292005,0.530696104299042,False,False,,,7,7,False,29.0
2025,9,DEN @ HOU,spread,HOME,1.5,3.23024157547402,0.5969072472642206,False,False,-3.0,-1.5,7,7,False,
2025,9,DEN @ HOU,total,OVER,40.5,11.674401245791092,0.5472813250454539,False,False,,,7,7,False,33.0
2025,9,ATL @ NE,spread,HOME,5.5,6.405897040872274,0.65,True,False,1.0,6.5,7,7,False,
2025,9,IND @ PIT,total,UNDER,51.5,14.279658232766623,0.5735402398987481,True,False,,,7,7,False,47.0
2025,9,LAC @ TEN,spread,AWAY,-10.0,10.006428383948624,0.65,True,False,-7.0,-17.0,7,10,False,
2025,9,NO @ LA,spread,HOME,14.0,18.402821623468615,0.65,True,False,24.0,38.0,14,7,False,
2025,9,JAX @ LV,spread,AWAY,-2.5,4.058046308777428,0.6217413892633228,True,False,-1.0,-3.5,14,14,False,
2025,9,KC @ BUF,total,UNDER,53.5,12.379429107462899,0.5662299457249265,True,False,,,7,6,False,49.0
2025,9,ARI @ DAL,spread,HOME,3.5,7.47993690771111,0.65,False,False,-10.0,-6.5,8,15,False,
2025,9,ARI @ DAL,total,UNDER,53.5,9.79715796406011,0.5524147951077216,True,False,,,8,15,False,44.0
2025,10,LV @ DEN,spread,HOME,9.5,12.617767844404456,0.65,True,False,3.0,12.5,4,4,True,
2025,10,ATL @ IND,spread,HOME,6.5,7.449761429474867,0.65,True,False,6.0,12.5,7,7,False,
2025,10,NO @ CAR,spread,HOME,5.5,9.48729199090527,0.65,False,False,-10.0,-4.5,7,7,True,
2025,10,NO @ CAR,total,OVER,38.5,15.42004098254382,0.5593671577827937,False,False,,,7,7,True,24.0
2025,10,NYG @ CHI,spread,HOME,4.5,6.588053891277665,0.65,True,False,4.0,8.5,7,7,False,
2025,10,JAX @ HOU,spread,AWAY,-1.5,2.8761514804343102,0.5862845444130294,False,False,7.0,5.5,7,7,True,
2025,10,JAX @ HOU,total,OVER,37.5,28.00845258050636,0.6,True,False,,,7,7,True,65.0
2025,10,BUF @ MIA,spread,AWAY,-8.5,8.100948497073832,0.65,False,False,17.0,8.5,10,7,True,
2025,10,BUF @ MIA,total,UNDER,50.5,10.801392714347543,0.5545470332074551,True,False,,,10,7,True,43.0
2025,10,BAL @ MIN,spread,AWAY,-4.5,6.31250857407664,0.65,True,False,-8.0,-12.5,7,10,False,
2025,10,BAL @ MIN,total,UNDER,48.5,7.596750069194455,0.5368442378355931,True,False,,,7,10,False,46.0
2025,10,CLE @ NYJ,spread,HOME,-1.5,3.6291898007683017,0.6088756940230491,True,False,7.0,5.5,14,14,False,
2025,10,CLE @ NYJ,total,OVER,37.5,20.229474851177354,0.5758605306919151,True,False,,,14,14,False,47.0
2025,10,NE @ TB,spread,HOME,2.5,6.92830182508488,0.65,False,False,-5.0,-2.5,14,7,False,
2025,10,ARI @ SEA,spread,HOME,7.0,9.289702637897804,0.65,True,False,22.0,29.0,7,6,True,
2025,10,DET @ WAS,spread,AWAY,-8.5,3.5926150408419044,0.6077784512252571,True,False,-22.0,-30.5,7,7,False,
2025,10,DET @ WAS,total,UNDER,49.5,11.836657379991102,0.558591454030956,False,False,,,7,7,False,66.0
2025,10,PIT @ LAC,spread,HOME,3.0,3.2577645287208075,0.5977329358616242,True,False,15.0,18.0,7,7,False,
2025,10,PHI @ GB,spread,HOME,1.5,3.896612786966242,0.6168983836089873,False,False,-3.0,-1.5,8,15,False,
2025,11,NYJ @ NE,spread,HOME,12.5,14.271315438907036,0.65,True,False,13.0,25.5,4,4,True,
2025,11,WAS @ MIA,spread,HOME,2.5,2.94778334366319,0.5884335003098957,True,False,3.0,5.5,7,7,False,
2025,11,CAR @ ATL,spread,HOME,4.5,7.525908483888863,0.65,True,False,-3.0,1.5,7,7,True,
2025,11,TB @ BUF,spread,HOME,6.0,8.067242467101872,0.65,True,False,12.0,18.0,7,7,False,
2025,11,LAC @ JAX,total,OVER,43.5,7.561493923232883,0.532892498566063,False,False,,,7,7,False,41.0
2025,11,CHI @ MIN,spread,HOME,3.0,3.207679328933139,0.5962303798679942,True,False,-2.0,1.0,7,7,True,
2025,11,GB @ NYG,spread,AWAY,-7.5,3.949505552977249,0.6184851665893175,True,False,-7.0,-14.5,7,6,False,
2025,11,GB @ NYG,total,OVER,41.5,14.33976085076437,0.5595100075306721,True,False,,,7,6,False,47.0
2025,11,CIN @ PIT,spread,HOME,5.5,3.9676592176430834,0.6190297765292925,True,False,22.0,27.5,7,14,True,
2025,11,HOU @ TEN,spread,AWAY,-5.5,2.066805250059107,0.5620041575017732,True,False,-3.0,-8.5,14,7,True,
2025,11,HOU @ TEN,total,OVER,37.5,21.093633949107847,0.5791011273091544,False,False,,,14,7,True,29.0
2025,11,SF @ ARI,spread,AWAY,-3.5,3.3107713225647135,0.5993231396769414,True,False,-19.0,-22.5,7,7,True,
2025,11,SEA @ LA,spread,HOME,3.0,3.5850042119877736,0.6075501263596332,True,False,2.0,5.0,7,7,True,
2025,11,SEA @ LA,total,UNDER,49.5,10.151471618940668,0.5502497845137563,True,False,,,7,7,True,40.0
2025,11,BAL @ CLE,spread,AWAY,-7.5,9.844216641273832,0.65,True,False,-7.0,-14.5,7,7,True,
2025,11,BAL @ CLE,total,OVER,37.5,23.50837172111303,0.5881563939541739,True,False,,,7,7,True,39.0
2025,11,KC @ DEN,spread,AWAY,-3.5,3.813085984203078,0.6143925795260924,True,False,3.0,-0.5,10,14,True,
2025,11,KC @ DEN,total,OVER,44.5,8.040082564395949,0.5357783674115619,False,False,,,10,14,True,41.0
2025,11,DET @ PHI,spread,HOME,2.5,4.524344078754582,0.6357303223626374,True,False,7.0,9.5,6,7,False,
2025,11,DET @ PHI,total,UNDER,46.5,6.482553743538798,0.5301438749074554,True,False,,,6,7,False,25.0
2025,11,DAL @ LV,spread,AWAY,-3.5,4.631126009801598,0.6389337802940479,True,False,-17.0,-20.5,11,14,False,
2025,11,DAL @ LV,total,UNDER,48.5,9.61746885130168,0.5466447239288131,False,False,,,11,14,False,49.0
2025,12,BUF @ HOU,spread,AWAY,-5.5,8.36134007117039,0.65,True,False,4.0,-1.5,4,4,False,
2025,12,BUF @ HOU,total,OVER,43.5,8.575870961454145,0.5373050386823255,False,False,,,4,4,False,42.0
