week,total_bets,wins,losses,pushes,hit_rate,total_profit,roi,avg_edge
5,214,127,87,0,0.5934579439252337,24.794798641651642,11.586354505444692,0.1767538794200067
6,241,123,118,0,0.5103734439834025,-9.013882880340736,-3.7402003652866127,0.1656580528220556
7,240,120,120,0,0.5,-17.058689700583457,-7.107787375243108,0.16858494491222623
8,193,92,101,0,0.47668393782383417,-21.34377410093424,-11.058950311364892,0.16892321590748
9,273,139,134,0,0.5091575091575091,-14.39276735660981,-5.272075954802128,0.1520523904200896
10,252,133,119,0,0.5277777777777778,-1.1579744422978884,-0.45951366757852713,0.16056827912239202
11,45,35,10,0,0.7777777777777778,20.292959318359394,45.095465151909764,0.17172204627353202
