week,total_bets,wins,losses,pushes,hit_rate,total_profit,roi,avg_edge
5,48,23,25,0,0.4791666666666667,-0.9568423032128237,-1.9934214650267161,0.10405682868484663
6,39,19,20,0,0.48717948717948717,-0.6730519270403786,-1.7257741718984068,0.07167542367212447
7,40,27,13,0,0.675,12.63361785225285,31.584044630632125,0.08842616282864317
8,35,19,16,0,0.5428571428571428,2.0128315908579815,5.750947402451375,0.08229437300613475
9,39,18,21,0,0.46153846153846156,-3.3210825825889945,-8.515596365612806,0.07956756182799508
10,47,25,22,0,0.5319148936170213,2.652946678612463,5.644567401303114,0.07216508365368482
11,4,3,1,0,0.75,1.720436092365627,43.010902309140675,0.06871711293892295
