player,nflverse_name,pick,market,market_display,line,odds,model_prob,model_prob_pct,raw_prob,calibrated_prob,market_prob,market_prob_with_vig,edge_pct,roi_pct,model_projection,model_std,strategy,calibration_applied,confidence,confidence_pct,priority,kelly_fraction,kelly_units,game,commence_time,position,team,opponent,week,hist_over_rate,hist_avg,hist_count,trailing_stat,rushing_yards_mean,rushing_yards_std,rushing_attempts_mean,rushing_attempts_std,rushing_tds_mean,rushing_tds_std,receiving_yards_mean,receiving_yards_std,receptions_mean,receptions_std,targets_mean,targets_std,receiving_tds_mean,receiving_tds_std,passing_yards_mean,passing_yards_std,passing_completions_mean,passing_completions_std,passing_attempts_mean,passing_attempts_std,passing_tds_mean,passing_tds_std,raw_td_prob,calibrated_td_prob,opponent_def_epa,player_receptions_vs_opp_divergence,player_receptions_vs_opp_confidence,player_reception_yds_vs_opp_divergence,player_reception_yds_vs_opp_confidence,player_rush_yds_vs_opp_divergence,player_rush_yds_vs_opp_confidence,player_pass_yds_vs_opp_divergence,player_pass_yds_vs_opp_confidence,vs_opp_avg_receptions,vs_opp_games_receptions,vs_opp_avg_receiving_yards,vs_opp_games_receiving_yards,vs_opp_avg_rushing_yards,vs_opp_games_rushing_yards,vs_opp_avg_passing_yards,vs_opp_games_passing_yards,vs_opp_avg_completions,vs_opp_games_completions,total_adjustment,passing_adjustment,severity,injury_qb_status,injury_wr1_status,injury_rb1_status,weather_total_adjustment,weather_passing_adjustment,is_divisional_game,rest_epa_adjustment,is_coming_off_bye,travel_epa_adjustment,home_field_advantage_points,is_primetime_game,primetime_type,redzone_target_share,redzone_carry_share,goalline_carry_share,snap_share,calibration_tier,tier_bias_adjustment,tier_shrinkage,tier_confidence_boost,model_guided,model_adjustment_pct,baseline_projection,adjustment_breakdown,elevation_feet,is_high_altitude,altitude_epa_adjustment,field_surface,team_pass_attempts,team_rush_attempts,team_targets,game_script_dynamic,market_blended_prob,role_override_applied,player_dk,player_pbp,snr_tier,snr_conf_threshold,model_market_deviation,profitable_strategy,strategy_validated,line_vs_trailing,line_vs_trailing_pct,v7_rule_signal,v7_p_under,v7_p_over,v7_best_direction,v7_best_ev,v7_kelly_size,v7_validated,v7_reason,v6_p_under,v6_p_over,v6_best_direction,v6_best_ev,v6_kelly_size,v6_value_validated,v5_p_under,v5_threshold,v5_edge_validated,model_p_under,model_best_direction,model_best_ev,model_validated,model_reason,feature_contributions,ensemble_p_under,ensemble_projection,ensemble_direction,mc_p_under,mc_direction,model_weight,had_conflict,prediction_source,opponent_conflict,opponent_conflict_reason,sharp_under,sharp_over,line_movement,sharp_confirmed,wf_filter_passed,wf_filter_reason,elite_filter_passed,model_reasoning,model_confidence,model_confidence_label
C.J. Stroud,C.J. Stroud,Over,player_pass_yds,Passing Yards,220.5,-113,0.5722512420984847,57.2%,0.6445024841969693,0.5722512420984847,0.5021058838394474,0.5305164319248826,7.014535825903723,13.970232279027982,287.49667330800395,96.9143033833783,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.022223786417443086,2.2,Houston Texans @ Los Angeles Chargers,2025-12-27T21:30:00Z,QB,HOU,IND,18,0.4146341463414634,214.89971228670922,12,214.89971228670922,,,,,,,,,,,,,,,152.93378590703963,98.26847562053244,20.899633333333338,4.991695757177337,21.171450225000005,6.383661585902979,0.8691912280701757,1.1645041214563774,0.95,0.6125,0.0676461881086637,0.0,1.0,0.0,1.0,0.0,1.0,0.2891203950174694,1.0,0.0,4.0,0.0,4.0,6.0,4.0,291.75,4.0,24.75,4.0,0.0,0.0,None (Dome),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,,,,0.9624275248998824,tier_1_starter,0.0,0.5,0.1,True,0.0,214.89971228670922,No significant adjustments,0,False,0.0,turf,38.27272727272727,25.454545454545453,38.36363636363637,0.0,,False,C.J. Stroud,C.J. Stroud,MEDIUM,0.5,0.30383978824491586,False,False,5.600287713290783,0.02604788468657397,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.42774875790151534,,0.0,False,Monte Carlo fallback (42.8%),[],0.7541374226018751,152.93378590703963,UNDER,0.7541374226018751,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +5.60 LVT (line vs trailing) |   = P(UNDER): 43% | INPUTS: |   Line: 220.5 | Trailing: 214.9 |   Snaps: 96% | PICK: OVER (LVT: +5.6) | Edge: +0.0%,83,VERY HIGH
Chase Brown,Chase Brown,Yes,player_anytime_td,Anytime TD,0.5,-170,0.700903848268336,70.1%,0.7870054975261942,0.700903848268336,0.6296296296296297,0.6296296296296297,7.127421863870631,11.320022960265119,1.5464889235879278,0.850105783720748,Model Projection (Calibrated),True,ELITE,90%+,STANDARD,0.04811009758112679,4.8,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,RB,CIN,CLE,18,0.5,1.5114189831676728,15,1.5114189831676728,45.685258398996304,41.8046238156975,10.361995550000003,4.931030939761876,0.6145698286982163,0.5565876949971336,14.654834898677507,17.248521237927232,2.64319725125,2.449137527443193,3.109643825,2.881338267580227,0.1449769719524326,,,,,,,,,,0.95,0.6125,-0.0021088586914985,-0.4886874222645096,0.6666666666666666,-0.4312969025156259,0.6666666666666666,-0.1223755450865333,0.6666666666666666,0.0,0.6666666666666666,2.0,3.0,12.333333333333334,3.0,59.333333333333336,3.0,0.0,3.0,0.0,3.0,0.0,0.0,None (No data),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.1207729468599033,0.6521739130434783,0.6097560975609756,0.6468651211740044,default,0.0,0.3,0.0,True,1.4686512117400463,1.5114189831676728,snap_share: +1.5%,0,False,0.0,turf,40.083333333333336,20.166666666666668,40.333333333333336,0.0,,False,Chase Brown,Chase Brown,MEDIUM,0.65,2.0929778471758556,False,False,-1.0114189831676728,-0.6276573589690867,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.700903848268336,,0.0,False,Monte Carlo fallback (70.1%),[],0.10915951749663427,1.5464889235879278,OVER,0.10915951749663427,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -1.01 LVT (line vs trailing) |   = P(UNDER): 70% | INPUTS: |   Line: 0.5 | Trailing: 1.5 |   Snaps: 65% | PICK: YES (LVT: -1.0) | Edge: +0.0%,64,MEDIUM
Michael Carter,Michael Carter,No,player_anytime_td,Anytime TD,0.5,-125,0.6649766819804755,66.5%,0.7356809742578222,0.6649766819804755,0.4444444444444444,0.4444444444444444,22.053223753603113,49.61975344560701,0.30695871311254935,0.39902320288500553,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.06154938361401751,6.2,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,RB,ARI,LA,18,0.5,0.0014514339032738726,17,0.0014514339032738726,29.60420754094166,28.50824591698607,7.845953050000001,4.347367570789887,0.2449175501138932,0.3923059123807451,13.945005687553346,18.478339689000393,1.426981164687283,1.528890856865862,2.3112226750000002,2.476281610039986,0.1400824498861068,,,,,,,,,,0.33717694285921,0.385,0.0015276807233941,0.4206564530543495,0.3333333333333333,-0.3700432831059471,0.3333333333333333,0.0157635517996202,0.3333333333333333,0.0,0.3333333333333333,3.0,2.0,13.0,2.0,44.5,2.0,0.0,2.0,0.0,2.0,0.0,0.0,None (Dome),healthy,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,0.04,0.0859375,0.1,0.5810449685101913,default,0.0,0.3,0.0,True,0.8104496851019105,0.1,snap_share: +0.8%,0,False,0.0,grass,42.45454545454545,23.545454545454547,42.45454545454545,0.0,,False,Michael Carter,Michael Carter,MEDIUM,0.65,0.3860825737749013,False,False,0.49854856609672615,4.914159878430636,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6649766819804755,,0.0,False,Monte Carlo fallback (66.5%),[],0.6857306328495203,0.30695871311254935,UNDER,0.6857306328495203,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.50 LVT (line vs trailing) |   = P(UNDER): 66% | INPUTS: |   Line: 0.5 | Trailing: 0.0 |   Snaps: 58% | PICK: NO (LVT: +0.5) | Edge: +0.0%,54,MEDIUM
Joe Burrow,Joe Burrow,Over,player_pass_yds,Passing Yards,265.5,-113,0.563180832346389,56.3%,0.6263616646927781,0.563180832346389,0.5021058838394474,0.5305164319248826,6.107494850694161,12.163758775324537,332.8203364199143,100.03864240255899,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.017393793224452177,1.7,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,QB,CIN,CLE,18,0.42,260.66245972073045,6,260.66245972073045,,,,,,,,,,,,,,,156.8686690651584,100.73722050875476,21.737266666666667,5.0653697984999635,23.377233375,6.673355209338103,1.416185964912281,1.4907183890847913,0.95,0.6125,-0.0125959541204017,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,-0.2605040210303841,0.6666666666666666,0.0,3.0,0.0,3.0,5.0,3.0,171.66666666666666,3.0,17.333333333333332,3.0,0.0,0.0,None (No data),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,,,,0.9199785177228788,tier_1_starter,0.0,0.5,0.1,True,0.0,260.66245972073045,No significant adjustments,0,False,0.0,turf,40.083333333333336,20.166666666666668,40.333333333333336,0.0,,False,Joe Burrow,Joe Burrow,MEDIUM,0.5,0.2535605891522197,False,False,4.837540279269547,0.018551521121753574,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.43681916765361095,,0.0,False,Monte Carlo fallback (43.7%),[],0.8595641916247282,156.8686690651584,UNDER,0.8595641916247282,UNDER,0.0,False,mc_only,True,⚠️ Player -26% vs opponent,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +4.84 LVT (line vs trailing) |   = P(UNDER): 44% | INPUTS: |   Line: 265.5 | Trailing: 260.7 |   Snaps: 92% | PICK: OVER (LVT: +4.8) | Edge: +0.0%,79,HIGH
Jacoby Brissett,Jacoby Brissett,Over,player_pass_yds,Passing Yards,252.5,-113,0.5664361224709755,56.6%,0.6328722449419509,0.5664361224709755,0.5021058838394474,0.5305164319248826,6.433023863152809,12.81208619576707,320.916160485412,106.74998241037635,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.019127235215794486,1.9,Arizona Cardinals @ Cincinnati Bengals,2025-12-28T18:00:00Z,QB,ARI,LA,18,0.8,247.92419258709063,12,247.92419258709063,,,,,,,,,,,,,,,173.70122067603066,108.18622719818065,24.5643,5.43030375240035,25.44356425,6.994387837561071,1.1044127192982458,1.3229935243815651,0.95,0.6125,0.0131817156989091,0.0,0.0,0.0,0.0,0.0,0.0,-0.5176026991987469,0.0,0.0,1.0,0.0,1.0,9.0,1.0,124.0,1.0,8.0,1.0,0.0,0.0,None (Dome),healthy,active,active,0.0,0.0,False,0.0,False,0.0,1.5,False,,,,,0.9944605802710624,tier_1_starter,0.0,0.5,0.1,True,0.0,247.92419258709063,No significant adjustments,0,False,0.0,grass,42.45454545454545,23.545454545454547,42.45454545454545,0.0,,False,Jacoby Brissett,Jacoby Brissett,MEDIUM,0.5,0.2709550910313346,False,False,4.57580741290937,0.01844903662493582,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.4335638775290245,,0.0,False,Monte Carlo fallback (43.4%),[],0.766804111035114,173.70122067603066,UNDER,0.766804111035114,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +4.58 LVT (line vs trailing) |   = P(UNDER): 43% | INPUTS: |   Line: 252.5 | Trailing: 247.9 |   Snaps: 99% | PICK: OVER (LVT: +4.6) | Edge: +0.0%,83,VERY HIGH
Sam Darnold,Sam Darnold,UNDER,player_pass_attempts,Pass Attempts,28.5,-111,0.7318981288855912,73.2%,0.8312830412651304,0.7318981288855912,0.4958445875753168,0.5260663507109005,23.605354131027447,47.60635635140797,34.10928204746183,6.726797683743837,Model Projection (Calibrated),True,ELITE,90%+,MEDIUM,0.1,10.0,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,QB,SEA,SF,18,0.38461538461538464,32.50798697335482,15,32.50798697335482,,,,,,,,,,,,,,,166.0093736959389,105.12746710915738,21.827733333333335,5.1645900962440585,21.910157600000005,6.524268233466664,1.1909793859649125,1.3723807825170906,0.95,0.6125,0.0201952979093482,0.0,0.0,0.0,0.0,0.0,0.0,0.0909082780572547,0.0,0.0,1.0,0.0,1.0,32.0,1.0,268.0,1.0,17.0,1.0,0.0,0.0,None (No data),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.9749955287340556,default,0.0,0.3,0.0,True,4.749955287340546,32.50798697335482,snap_share: +4.7%,0,False,0.0,turf,28.363636363636363,28.636363636363637,28.454545454545453,0.0,,False,Sam Darnold,Sam Darnold,HIGH,0.6,0.1968169139460292,False,False,-4.007986973354818,-0.12291427178960451,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8451680414602025,UNDER,61.35026246058411,True,"V30: UNDER (proj=34.1 vs line=28.5, diff=+23%)",[],0.8451680414602025,34.10928204746183,UNDER,0.20217681784635794,OVER,1.0,True,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -4.01 LVT (line vs trailing) |   = P(UNDER): 85% | INPUTS: |   Line: 28.5 | Trailing: 32.5 |   Snaps: 97% | PICK: UNDER (LVT: -4.0) | Edge: +61.4%,93,VERY HIGH
Bryce Young,Bryce Young,Over,player_pass_yds,Passing Yards,195.5,-112,0.5813990837754399,58.1%,0.66279816755088,0.5813990837754399,0.5,0.5283018867924528,8.139908377543993,16.279816755087985,265.81684656526323,82.4284093528172,Model Projection (Calibrated),True,STANDARD,60-75%,HIGH,0.028141514400983156,2.8,Seattle Seahawks @ Carolina Panthers,2025-12-28T18:00:00Z,QB,CAR,TB,18,0.38571428571428573,193.50683394081213,14,193.50683394081213,,,,,,,,,,,,,,,127.0665566535133,83.33539616627482,17.924333333333333,4.635976116801677,18.906426325,6.0468092036673,0.9055543859649124,1.1921770487455106,0.95,0.6125,0.0034983858051746,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0104350301244276,0.6666666666666666,0.0,3.0,0.0,3.0,13.666666666666666,3.0,190.0,3.0,17.333333333333332,3.0,0.0,0.0,None (No data),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,,,,,0.9960371214212478,tier_1_starter,0.0,0.5,0.1,True,0.0,193.50683394081213,No significant adjustments,0,False,0.0,turf,34.166666666666664,26.833333333333332,34.25,0.0,,False,Bryce Young,Bryce Young,MEDIUM,0.5,0.3596769645282007,False,False,1.993166059187871,0.010294915828215057,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.4186009162245601,,0.0,False,Monte Carlo fallback (41.9%),[],0.7942284092356309,127.0665566535133,UNDER,0.7942284092356309,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_pass_yds),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +1.99 LVT (line vs trailing) |   = P(UNDER): 42% | INPUTS: |   Line: 195.5 | Trailing: 193.5 |   Snaps: 100% | PICK: OVER (LVT: +2.0) | Edge: +0.0%,83,VERY HIGH
Aaron Rodgers,Aaron Rodgers,UNDER,player_pass_attempts,Pass Attempts,28.5,-110,0.7401078863793462,74.0%,0.8430112662562089,0.7401078863793462,0.4937655860349127,0.5238095238095238,24.63423003444335,49.89053658490799,34.39613790398815,6.680153421037741,Model Projection (Calibrated),True,ELITE,90%+,MEDIUM,0.1,10.0,Pittsburgh Steelers @ Cleveland Browns,2025-12-28T18:00:00Z,QB,PIT,BAL,18,0.6666666666666666,32.89464750723778,14,32.89464750723778,,,,,,,,,,,,,,,150.47018747980056,94.8051589115962,21.95606666666667,5.137334249935034,22.133785800000002,6.469163828502103,1.1777622807017545,1.3718036772398916,0.95,0.6125,-0.0263799607663596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,,,,0.9636111946501432,default,0.0,0.3,0.0,True,4.636111946501442,32.89464750723778,snap_share: +4.6%,0,False,0.0,turf,32.81818181818182,23.09090909090909,32.81818181818182,0.0,,False,Aaron Rodgers,Aaron Rodgers,HIGH,0.6,0.2068820317188824,False,False,-4.394647507237778,-0.13319274001256592,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.8395900422855025,UNDER,60.28537170905047,True,"V30: UNDER (proj=34.4 vs line=28.5, diff=+22%)",[],0.8395900422855025,34.39613790398815,UNDER,0.1887167280098821,OVER,1.0,True,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_pass_attempts),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -4.39 LVT (line vs trailing) |   = P(UNDER): 84% | INPUTS: |   Line: 28.5 | Trailing: 32.9 |   Snaps: 96% | PICK: UNDER (LVT: -4.4) | Edge: +60.3%,90,VERY HIGH
Aaron Rodgers,Aaron Rodgers,OVER,player_pass_completions,Pass Completions,18.5,-103,0.6502639363690599,65.0%,0.8005278727381197,0.6502639363690599,0.4791397221410989,0.5073891625615764,17.112421422796096,35.7148878125299,22.54736348406863,5.109917930466266,Model Projection (Calibrated),True,HIGH,75-90%,MEDIUM,0.07250894770729789,7.3,Pittsburgh Steelers @ Cleveland Browns,2025-12-28T18:00:00Z,QB,PIT,BAL,18,0.6363636363636364,22.546288991159873,14,22.546288991159873,,,,,,,,,,,,,,,150.47018747980056,94.8051589115962,21.95606666666667,5.137334249935034,22.133785800000002,6.469163828502103,1.1777622807017545,1.3718036772398916,0.95,0.6125,-0.0263799607663596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (No data),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,,,,0.9636111946501432,tier_1_starter,0.0,0.5,0.1,True,0.0,22.546288991159873,No significant adjustments,0,False,0.0,turf,32.81818181818182,23.09090909090909,32.81818181818182,0.0,,False,Aaron Rodgers,Aaron Rodgers,HIGH,0.65,0.21877640454425024,False,False,-4.046288991159873,-0.17867337967555602,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.25847148526612646,OVER,41.56453463101221,True,"V30: OVER (proj=22.5 vs line=18.5, diff=-19%)",[],0.25847148526612646,22.54736348406863,OVER,0.21416273828369076,OVER,1.0,False,classifier_direction_mc_projection,False,,False,False,0,False,False,Market not allowed (player_pass_completions),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -4.05 LVT (line vs trailing) |   = P(UNDER): 26% | INPUTS: |   Line: 18.5 | Trailing: 22.5 |   Snaps: 96% | PICK: OVER (LVT: -4.0) | Edge: +41.6%,95,VERY HIGH
Travis Etienne Jr.,Travis Etienne,Yes,player_anytime_td,Anytime TD,0.5,-220,0.7091811568818975,70.9%,0.7988302241169964,0.7091811568818975,0.6875,0.6875,2.1681156881897534,3.1536228191850957,1.6036060713099636,1.069580506217506,Model Projection (Calibrated),True,ELITE,90%+,STANDARD,0.017344925505518038,1.7,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,RB,JAX,TEN,18,0.5,1.5442808265756645,15,1.5442808265756645,58.18557183619107,51.069673293521454,12.950906425000001,5.586041945082602,1.2194392632936892,0.774513403513601,11.904358109280885,16.30503516452397,1.6628426167165864,1.8542261167964225,2.1345591,2.3802344198278735,0.1162514166549105,,,,,,,,,,0.95,0.6125,0.0093287485534344,0.3207428519823152,1.0,0.6036091425305065,1.0,-0.4831901784061164,1.0,0.0,1.0,3.25,4.0,28.25,4.0,44.5,4.0,0.0,4.0,0.0,4.0,0.0,0.0,None (No data),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,EARLY,0.0961538461538461,0.4058823529411764,0.3265306122448979,0.6479894540744621,default,0.0,0.3,0.0,True,1.4798945407446196,1.5442808265756645,snap_share: +1.5%,0,False,0.0,turf,36.0,28.727272727272727,36.27272727272727,0.0,,False,Travis Etienne,Travis Etienne,MEDIUM,0.65,2.207212142619927,False,False,-1.0442808265756645,-0.6350988284345904,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.7091811568818975,,0.0,False,Monte Carlo fallback (70.9%),[],0.15108008297774395,1.6036060713099636,OVER,0.15108008297774395,OVER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   -1.04 LVT (line vs trailing) |   = P(UNDER): 71% | INPUTS: |   Line: 0.5 | Trailing: 1.5 |   Snaps: 65% | PICK: YES (LVT: -1.0) | Edge: +0.0%,54,MEDIUM
Tyler Warren,Tyler Warren,No,player_anytime_td,Anytime TD,0.5,-195,0.6739518317940405,67.4%,0.7485026168486293,0.6739518317940405,0.3389830508474576,0.3389830508474576,33.496878094658285,98.81579037924195,0.28968057900481214,0.38045083551149533,Model Projection (Calibrated),True,HIGH,75-90%,STANDARD,0.009539475948104852,1.0,Jacksonville Jaguars @ Indianapolis Colts,2025-12-28T18:00:00Z,TE,IND,HOU,18,0.5,0.10106689780178406,15,0.10106689780178406,,,,,,,35.66630400983452,33.48453098938334,2.1190134712500006,1.6019138453659112,4.7089188250000005,3.55980854525758,0.3366336633663366,0.5446591584549818,,,,,,,,,0.4744299531251025,0.3366336633663366,-0.0152950033388034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,None (Dome),healthy,active,active,0.0,0.0,True,0.0,False,0.0,1.5,False,,0.1428571428571428,,,0.8684432933582003,default,0.0,0.3,0.0,True,3.6844329335820047,0.10106689780178406,snap_share: +3.7%,0,False,0.0,turf,34.45454545454545,25.818181818181817,34.63636363636363,0.0,,False,Tyler Warren,Tyler Warren,MEDIUM,0.65,0.4206388419903757,False,False,0.3989331021982159,1.984081450301643,DISABLED,0.5,0.5,,0,0,False,V7 disabled - using V14,,,,,0,False,,,False,0.6739518317940405,,0.0,False,Monte Carlo fallback (67.4%),[],0.7098053950789535,0.28968057900481214,UNDER,0.7098053950789535,UNDER,0.0,False,mc_only,False,,False,False,0,False,False,Market not allowed (player_anytime_td),False,CALCULATION (log-odds): |   Base: 0.00 (50%) |   +0.40 LVT (line vs trailing) |   = P(UNDER): 67% | INPUTS: |   Line: 0.5 | Trailing: 0.1 |   Snaps: 87% | PICK: NO (LVT: +0.4) | Edge: +0.0%,58,MEDIUM
