game_id,week,home_team,away_team,model_home_win_prob,model_fair_spread,model_fair_total,spread_std,total_std,home_score,away_score,margin,total,home_won,prob_bin,spread_error,total_error
2025_06_NE_NO,6,NO,NE,0.4871,0.0,46.0,16.004974435306046,15.977864848283078,19.0,25.0,-6.0,44.0,0,40-50%,-6.0,-2.0
2025_06_CLE_PIT,6,PIT,CLE,0.53566,3.0,42.0,15.12472605395549,15.159723625924057,23.0,9.0,14.0,32.0,1,50-60%,11.0,-10.0
2025_06_TEN_LV,6,LV,TEN,0.5373,3.0,37.0,14.39190153933802,14.410898839406235,20.0,10.0,10.0,30.0,1,50-60%,7.0,-7.0
2025_06_CIN_GB,6,GB,CIN,0.67718,7.0,41.0,14.976057718131297,14.994708783887736,27.0,18.0,9.0,45.0,1,60-70%,2.0,4.0
2025_06_SF_TB,6,TB,SF,0.52252,2.0,51.0,16.977260112927528,17.017865143654184,30.0,19.0,11.0,49.0,1,50-60%,9.0,-2.0
2025_06_DET_KC,6,KC,DET,0.55256,3.0,53.0,16.936487782181995,16.925546219321845,30.0,17.0,13.0,47.0,1,50-60%,10.0,-6.0
2025_06_BUF_ATL,6,ATL,BUF,0.41462,-3.0,51.0,16.90767834730718,16.952742012594896,24.0,14.0,10.0,38.0,1,40-50%,13.0,-13.0
2025_06_CHI_WAS,6,WAS,CHI,0.54328,3.0,46.0,15.758089355134397,15.81626824040361,24.0,25.0,-1.0,49.0,0,50-60%,-4.0,3.0
2025_07_PIT_CIN,7,CIN,PIT,0.47698,0.0,38.0,14.29797565458831,14.310371454298453,33.0,31.0,2.0,64.0,1,40-50%,2.0,26.0
2025_07_LA_JAX,7,JAX,LA,0.53288,3.0,50.0,16.51860446835628,16.577760449361065,7.0,35.0,-28.0,42.0,0,50-60%,-31.0,-8.0
2025_07_NO_CHI,7,CHI,NO,0.50146,1.0,45.0,16.058926628015957,16.04660681883868,26.0,14.0,12.0,40.0,1,50-60%,11.0,-5.0
2025_07_MIA_CLE,7,CLE,MIA,0.39592,-3.0,40.0,14.811495110366137,14.84028930703172,31.0,6.0,25.0,37.0,1,30-40%,28.0,-3.0
2025_07_LV_KC,7,KC,LV,0.65124,7.0,45.0,15.835477658157332,15.864268512490577,31.0,0.0,31.0,31.0,1,60-70%,24.0,-14.0
2025_07_PHI_MIN,7,MIN,PHI,0.41492,-3.0,45.0,15.551382907510186,15.594050797095667,22.0,28.0,-6.0,50.0,0,40-50%,-3.0,5.0
2025_07_CAR_NYJ,7,NYJ,CAR,0.47682,0.0,41.0,15.331897513119502,15.35782608444307,6.0,13.0,-7.0,19.0,0,40-50%,-7.0,-22.0
2025_07_NE_TEN,7,TEN,NE,0.38574,-3.0,41.0,14.942890236028639,14.970545766818255,13.0,31.0,-18.0,44.0,0,30-40%,-15.0,3.0
2025_07_NYG_DEN,7,DEN,NYG,0.45614,-1.0,48.0,16.52396093665196,16.463425056239057,33.0,32.0,1.0,65.0,1,40-50%,2.0,17.0
2025_07_IND_LAC,7,LAC,IND,0.46532,0.0,51.0,16.627594147368402,16.650739629265722,24.0,38.0,-14.0,62.0,0,40-50%,-14.0,11.0
2025_07_GB_ARI,7,ARI,GB,0.43954,-1.0,48.0,16.419286353151893,16.457392053117044,23.0,27.0,-4.0,50.0,0,40-50%,-3.0,2.0
2025_07_WAS_DAL,7,DAL,WAS,0.6496,7.0,46.0,15.92356544948398,15.901649435753512,44.0,22.0,22.0,66.0,1,60-70%,15.0,20.0
2025_07_ATL_SF,7,SF,ATL,0.5649,3.0,50.0,16.958494491552013,16.91200739999838,20.0,10.0,10.0,30.0,1,50-60%,7.0,-20.0
2025_07_TB_DET,7,DET,TB,0.4907,0.0,51.0,16.481559282871267,16.517094766029526,24.0,9.0,15.0,33.0,1,40-50%,15.0,-18.0
